State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
"New House Breakdown: 235D, 199R, 1 Denied Certification",,,,D,"60,727,598","50,983,895","1,967,161",53.4%,44.8%,1.7%,8.6%,2.1%,6.5%,"136,179,900",83.5%,
"Compiled by: David Wasserman & Ally Flinn, Cook Political Report. @Redistrict/@CookPolitical. Italics denotes freshman, Bold denotes party change.",,,,,,,,,,,,,,,,
Alabama,1,R+15,Bradley Byrne,R,"89,226","153,228",163,36.8%,63.2%,0.1%,-26.4%,-29.2%,2.8%,"305,780",79.3%,x
Alabama,2,R+16,Martha Roby,R,"86,931","138,879",420,38.4%,61.4%,0.2%,-23.0%,-31.7%,8.7%,"287,564",78.7%,x
Alabama,3,R+16,Mike Rogers,R,"83,996","147,770",149,36.2%,63.7%,0.1%,-27.5%,-33.0%,5.5%,"291,243",79.6%,x
Alabama,4,R+30,Robert Aderholt,R,"46,492","184,255",222,20.1%,79.8%,0.1%,-59.6%,-62.5%,2.9%,"292,861",78.9%,x
Alabama,5,R+18,Mo Brooks,R,"101,388","159,063",222,38.9%,61.0%,0.1%,-22.1%,-32.9%,10.8%,"314,679",82.8%,x
Alabama,6,R+26,Gary Palmer,R,"85,644","192,542",142,30.8%,69.2%,0.1%,-38.4%,-43.8%,5.4%,"335,943",82.8%,x
Alabama,7,D+20,Terri Sewell,D,"185,010",0,"4,153",97.8%,0.0%,2.2%,97.8%,41.2%,N/A,"294,433",64.2%,x
Alaska,AL,R+9,Don Young,R,"131,199","149,779","1,188",46.5%,53.1%,0.4%,-6.6%,-14.7%,8.1%,"318,608",88.6%,x
Arizona,1,R+2,Tom O'Halleran,D,"143,240","122,784",65,53.8%,46.1%,0.0%,7.7%,-1.1%,8.8%,"289,086",92.0%,x
Arizona,2,R+1,Ann Kirkpatrick,D,"161,000","133,083",69,54.7%,45.2%,0.0%,9.5%,4.8%,4.7%,"321,540",91.5%,x
Arizona,3,D+13,Raul Grijalva,D,"114,650","64,868",0,63.9%,36.1%,0.0%,27.7%,29.5%,-1.8%,"211,797",84.8%,x
Arizona,4,R+21,Paul Gosar,R,"84,521","188,842","3,672",30.5%,68.2%,1.3%,-37.7%,-39.4%,1.7%,"304,185",91.1%,x
Arizona,5,R+15,Andy Biggs,R,"127,027","186,037",0,40.6%,59.4%,0.0%,-18.8%,-20.5%,1.7%,"341,437",91.7%,x
Arizona,6,R+9,David Schweikert,R,"140,559","173,140",0,44.8%,55.2%,0.0%,-10.4%,-9.8%,-0.6%,"343,997",91.2%,x
Arizona,7,D+23,Ruben Gallego,D,"113,044",301,"18,706",85.6%,0.2%,14.2%,85.4%,48.3%,N/A,"167,183",79.0%,x
Arizona,8,R+13,Debbie Lesko,R,"135,569","168,835",13,44.5%,55.5%,0.0%,-10.9%,-20.8%,9.9%,"332,767",91.5%,x
Arizona,9,D+4,Greg Stanton,D,"159,583","101,662",0,61.1%,38.9%,0.0%,22.2%,15.9%,6.3%,"290,237",90.0%,x
Arkansas,1,R+17,Rick Crawford,R,"57,907","138,757","4,581",28.8%,68.9%,2.3%,-40.2%,-34.8%,-5.4%,"260,716",77.2%,x
Arkansas,2,R+7,French Hill,R,"116,135","132,125","5,193",45.8%,52.1%,2.0%,-6.3%,-10.7%,4.4%,"306,974",82.6%,x
Arkansas,3,R+19,Steve Womack,R,"74,952","148,717","6,039",32.6%,64.7%,2.6%,-32.1%,-31.4%,-0.7%,"292,163",78.6%,x
Arkansas,4,R+17,Bruce Westerman,R,"63,984","136,740","4,168",31.2%,66.7%,2.0%,-35.5%,-32.8%,-2.7%,"270,782",75.7%,x
California,1,R+11,Doug LaMalfa,R,"131,548","160,046",0,45.1%,54.9%,0.0%,-9.8%,-19.4%,9.6%,"318,397",91.6%,x
California,2,D+22,Jared Huffman,D,"243,081","72,576",0,77.0%,23.0%,0.0%,54.0%,45.2%,8.8%,"348,791",90.5%,x
California,3,D+5,John Garamendi,D,"134,875","97,376",0,58.1%,41.9%,0.0%,16.1%,12.5%,3.6%,"263,803",88.0%,x
California,4,R+10,Tom McClintock,R,"156,253","184,401",0,45.9%,54.1%,0.0%,-8.3%,-14.5%,6.2%,"360,284",94.6%,x
California,5,D+21,Mike Thompson,D,"205,860",0,"55,158",78.9%,0.0%,21.1%,78.9%,44.6%,N/A,"306,625",85.1%,x
California,6,D+21,Doris Matsui,D,"201,939",0,0,100.0%,0.0%,0.0%,100.0%,44.0%,N/A,"248,121",81.4%,x
California,7,D+3,Ami Bera,D,"155,016","126,601",0,55.0%,45.0%,0.0%,10.1%,11.2%,-1.1%,"309,549",91.0%,x
California,8,R+9,Paul Cook,R,0,"170,785",0,0.0%,100.0%,0.0%,-100.0%,-15.1%,N/A,"232,930",73.3%,x
California,9,D+8,Jerry McNerney,D,"113,414","87,349",0,56.5%,43.5%,0.0%,13.0%,18.2%,-5.2%,"243,453",82.5%,x
California,10,EVEN,Josh Harder,D,"115,945","105,955",0,52.3%,47.7%,0.0%,4.5%,3.0%,1.5%,"243,067",91.3%,x
California,11,D+21,Mark DeSaulnier,D,"204,369","71,312",0,74.1%,25.9%,0.0%,48.3%,47.6%,0.7%,"320,522",86.0%,x
California,12,D+37,Nancy Pelosi,D,"275,292","41,780",0,86.8%,13.2%,0.0%,73.6%,76.6%,-3.0%,"362,965",87.4%,x
California,13,D+40,Barbara Lee,D,"260,580",0,"34,257",88.4%,0.0%,11.6%,88.4%,79.3%,N/A,"339,391",86.9%,x
California,14,D+27,Jackie Speier,D,"211,384","55,439",0,79.2%,20.8%,0.0%,58.4%,58.6%,-0.2%,"298,322",89.4%,x
California,15,D+20,Eric Swalwell,D,"177,989","65,940",0,73.0%,27.0%,0.0%,45.9%,44.9%,1.0%,"289,926",84.1%,x
California,16,D+9,Jim Costa,D,"82,266","60,693",0,57.5%,42.5%,0.0%,15.1%,21.3%,-6.2%,"172,088",83.1%,x
California,17,D+25,Ro Khanna,D,"159,105","52,057",0,75.3%,24.7%,0.0%,50.7%,53.2%,-2.5%,"249,775",84.5%,x
California,18,D+23,Anna Eshoo,D,"225,142","77,096",0,74.5%,25.5%,0.0%,49.0%,53.2%,-4.2%,"335,138",90.2%,x
California,19,D+24,Zoe Lofgren,D,"162,496","57,823",0,73.8%,26.2%,0.0%,47.5%,51.4%,-3.9%,"257,624",85.5%,x
California,20,D+23,Jimmy Panetta,D,"183,677",0,"42,044",81.4%,0.0%,18.6%,81.4%,46.8%,N/A,"258,177",87.4%,x
California,21,D+5,T.J. Cox,D,"57,239","56,377",0,50.4%,49.6%,0.0%,0.8%,15.4%,-14.6%,"134,881",84.2%,x
California,22,R+8,Devin Nunes,R,"105,136","117,243",0,47.3%,52.7%,0.0%,-5.4%,-9.3%,3.9%,"243,929",91.2%,x
California,23,R+14,Kevin McCarthy,R,"74,661","131,113",0,36.3%,63.7%,0.0%,-27.4%,-21.9%,-5.5%,"246,632",83.4%,x
California,24,D+7,Salud Carbajal,D,"166,550","117,881",0,58.6%,41.4%,0.0%,17.1%,19.9%,-2.8%,"316,384",89.9%,x
California,25,EVEN,Katie Hill,D,"133,209","111,813",0,54.4%,45.6%,0.0%,8.7%,6.6%,2.1%,"274,459",89.3%,x
California,26,D+7,Julia Brownley,D,"158,216","97,210",0,61.9%,38.1%,0.0%,23.9%,21.4%,2.5%,"298,769",85.5%,x
California,27,D+16,Judy Chu,D,"202,636",0,0,100.0%,0.0%,0.0%,100.0%,37.6%,N/A,"264,466",76.6%,x
California,28,D+23,Adam Schiff,D,"196,662","54,272",0,78.4%,21.6%,0.0%,56.7%,49.8%,6.9%,"289,254",86.8%,x
California,29,D+29,Tony Cardenas,D,"124,697","29,995",0,80.6%,19.4%,0.0%,61.2%,60.9%,0.3%,"196,196",78.8%,x
California,30,D+18,Brad Sherman,D,"191,573","69,420",0,73.4%,26.6%,0.0%,46.8%,43.4%,3.4%,"302,821",86.2%,x
California,31,D+8,Pete Aguilar,D,"110,143","77,352",0,58.7%,41.3%,0.0%,17.5%,21.1%,-3.6%,"228,825",81.9%,x
California,32,D+17,Grace Napolitano,D,"121,759","55,272",0,68.8%,31.2%,0.0%,37.6%,38.9%,-1.3%,"220,046",80.5%,x
California,33,D+16,Ted Lieu,D,"219,091","93,769",0,70.0%,30.0%,0.0%,40.1%,41.3%,-1.2%,"353,897",88.4%,x
California,34,D+35,Jimmy Gomez,D,"110,195",0,"41,711",72.5%,0.0%,27.5%,72.5%,72.8%,N/A,"184,601",82.3%,x
California,35,D+19,Norma Torres,D,"103,420","45,604",0,69.4%,30.6%,0.0%,38.8%,40.8%,-2.0%,"188,611",79.0%,x
California,36,D+2,Raul Ruiz,D,"122,169","84,839",0,59.0%,41.0%,0.0%,18.0%,8.7%,9.3%,"237,370",87.2%,x
California,37,D+37,Karen Bass,D,"210,555","25,823",0,89.1%,10.9%,0.0%,78.2%,76.1%,2.1%,"276,134",85.6%,x
California,38,D+17,Linda Sanchez,D,"139,188","62,968",0,68.9%,31.1%,0.0%,37.7%,39.5%,-1.8%,"248,271",81.4%,x
California,39,EVEN,Gil Cisneros,D,"126,002","118,391",0,51.6%,48.4%,0.0%,3.1%,8.5%,-5.4%,"274,379",89.1%,x
California,40,D+33,Lucille Roybal-Allard,D,"93,938",0,"27,511",77.3%,0.0%,22.7%,77.3%,69.5%,N/A,"164,714",73.7%,x
California,41,D+12,Mark Takano,D,"108,227","58,021",0,65.1%,34.9%,0.0%,30.2%,27.9%,2.3%,"206,961",80.3%,x
California,42,R+9,Ken Calvert,R,"100,892","131,040",0,43.5%,56.5%,0.0%,-13.0%,-12.0%,-1.0%,"268,305",86.4%,x
California,43,D+29,Maxine Waters,D,"152,272","43,780",0,77.7%,22.3%,0.0%,55.3%,61.7%,-6.4%,"234,060",83.8%,x
California,44,D+35,Nanette Barragan,D,"143,322",0,0,100.0%,0.0%,0.0%,100.0%,70.8%,N/A,"197,802",72.5%,x
California,45,R+3,Katie Porter,D,"158,906","146,383",0,52.1%,47.9%,0.0%,4.1%,5.4%,-1.3%,"329,144",92.8%,x
California,46,D+15,Lou Correa,D,"102,278","45,638",0,69.1%,30.9%,0.0%,38.3%,38.0%,0.3%,"182,597",81.0%,x
California,47,D+13,Alan Lowenthal,D,"143,354","77,682",0,64.9%,35.1%,0.0%,29.7%,31.5%,-1.8%,"259,263",85.3%,x
California,48,R+4,Harley Rouda,D,"157,837","136,899",0,53.6%,46.4%,0.0%,7.1%,1.7%,5.4%,"320,018",92.1%,x
California,49,R+1,Mike Levin,D,"166,453","128,577",0,56.4%,43.6%,0.0%,12.8%,7.5%,5.3%,"314,717",93.7%,x
California,50,R+11,Duncan Hunter,R,"125,448","134,362",0,48.3%,51.7%,0.0%,-3.4%,-15.0%,11.6%,"292,878",88.7%,x
California,51,D+22,Juan Vargas,D,"109,527","44,301",0,71.2%,28.8%,0.0%,42.4%,49.0%,-6.6%,"205,852",74.7%,x
California,52,D+6,Scott Peters,D,"188,992","107,015",0,63.8%,36.2%,0.0%,27.7%,22.6%,5.1%,"329,258",89.9%,x
California,53,D+14,Susan Davis,D,"185,667","83,127",0,69.1%,30.9%,0.0%,38.1%,34.9%,3.2%,"310,373",86.6%,x
Colorado,1,D+21,Diana DeGette,D,"272,886","85,207","11,622",73.8%,23.0%,3.1%,50.8%,45.8%,5.0%,"401,981",92.0%,x
Colorado,2,D+9,Joe Neguse,D,"259,608","144,901","26,256",60.3%,33.6%,6.1%,26.6%,21.3%,5.3%,"470,864",91.5%,x
Colorado,3,R+6,Scott Tipton,R,"146,426","173,205","16,570",43.6%,51.5%,4.9%,-8.0%,-11.9%,3.9%,"377,176",89.1%,x
Colorado,4,R+13,Ken Buck,R,"145,544","224,038",39,39.4%,60.6%,0.0%,-21.2%,-23.2%,2.0%,"402,203",91.9%,x
Colorado,5,R+14,Doug Lamborn,R,"126,848","184,002","11,866",39.3%,57.0%,3.7%,-17.7%,-23.9%,6.2%,"371,829",86.8%,x
Colorado,6,D+2,Jason Crow,D,"187,639","148,685","10,498",54.1%,42.9%,3.0%,11.2%,8.9%,2.3%,"380,530",91.1%,x
Colorado,7,D+6,Ed Perlmutter,D,"204,260","119,734","14,073",60.4%,35.4%,4.2%,25.0%,12.1%,12.9%,"371,934",90.9%,x
Connecticut,1,D+12,John Larson,D,"175,087","96,024","3,029",63.9%,35.0%,1.1%,28.8%,23.1%,5.7%,"329,238",83.3%,x
Connecticut,2,D+3,Joe Courtney,D,"179,731","102,483","6,900",62.2%,35.4%,2.4%,26.7%,2.9%,23.8%,"341,409",84.7%,x
Connecticut,3,D+9,Rosa DeLauro,D,"174,572","95,667",0,64.6%,35.4%,0.0%,29.2%,15.5%,13.7%,"322,281",83.9%,x
Connecticut,4,D+7,Jim Himes,D,"168,726","106,921",4,61.2%,38.8%,0.0%,22.4%,23.0%,-0.6%,"328,790",83.8%,x
Connecticut,5,D+2,Jahana Hayes,D,"151,225","119,426",13,55.9%,44.1%,0.0%,11.7%,4.1%,7.6%,"323,202",83.7%,x
Delaware,AL,D+6,Lisa Blunt Rochester,D,"227,353","125,384",0,64.5%,35.5%,0.0%,28.9%,11.4%,17.5%,"442,997",79.6%,x
Florida,1,R+22,Matt Gaetz,R,"106,199","216,189",0,32.9%,67.1%,0.0%,-34.1%,-39.3%,5.2%,"380,098",84.8%,x
Florida,2,R+18,Neal Dunn,R,"96,233","199,335",0,32.6%,67.4%,0.0%,-34.9%,-35.6%,0.7%,"354,956",83.3%,x
Florida,3,R+9,Ted Yoho,R,"129,880","176,616",0,42.4%,57.6%,0.0%,-15.2%,-16.0%,0.8%,"351,688",87.1%,x
Florida,4,R+17,John Rutherford,R,"123,351","248,420","9,478",32.4%,65.2%,2.5%,-32.8%,-28.0%,-4.8%,"421,712",90.4%,x
Florida,5,D+12,Al Lawson,D,"180,527","89,799",0,66.8%,33.2%,0.0%,33.6%,25.4%,8.2%,"311,972",86.7%,x
Florida,6,R+7,Michael Waltz,R,"145,758","187,891",0,43.7%,56.3%,0.0%,-12.6%,-17.0%,4.4%,"379,798",87.8%,x
Florida,7,EVEN,Stephanie Murphy,D,"183,113","134,285",0,57.7%,42.3%,0.0%,15.4%,7.3%,8.1%,"363,186",87.4%,x
Florida,8,R+11,Bill Posey,R,"142,415","218,112",0,39.5%,60.5%,0.0%,-21.0%,-20.7%,-0.3%,"401,911",89.7%,x
Florida,9,D+5,Darren Soto,D,"172,172","124,565",0,58.0%,42.0%,0.0%,16.0%,12.9%,3.1%,"356,530",83.2%,x
Florida,10,D+11,Val Demings,D,0,0,0,100.0%,0.0%,0.0%,100.0%,26.9%,N/A,"315,611",0.0%,x
Florida,11,R+15,Dan Webster,R,"128,053","239,395",58,34.8%,65.1%,0.0%,-30.3%,-32.3%,2.0%,"411,005",89.4%,x
Florida,12,R+8,Gus Bilirakis,R,"132,844","194,564","7,510",39.7%,58.1%,2.2%,-18.4%,-18.6%,0.2%,"380,363",88.1%,x
Florida,13,D+2,Charlie Crist,D,"182,717","134,254",0,57.6%,42.4%,0.0%,15.3%,3.2%,12.1%,"360,760",87.9%,x
Florida,14,D+7,Kathy Castor,D,0,0,0,100.0%,0.0%,0.0%,100.0%,18.2%,N/A,"330,427",0.0%,x
Florida,15,R+6,Ross Spano,R,"134,132","151,380",20,47.0%,53.0%,0.0%,-6.0%,-10.0%,4.0%,"334,514",85.4%,x
Florida,16,R+7,Vern Buchanan,R,"164,463","197,483",0,45.4%,54.6%,0.0%,-9.1%,-10.8%,1.7%,"396,807",91.2%,x
Florida,17,R+13,Greg Steube,R,"117,194","193,326",0,37.7%,62.3%,0.0%,-24.5%,-27.2%,2.7%,"353,861",87.8%,x
Florida,18,R+5,Brian Mast,R,"156,454","185,905",0,45.7%,54.3%,0.0%,-8.6%,-9.2%,0.6%,"382,476",89.5%,x
Florida,19,R+13,Francis Rooney,R,"128,106","211,465",36,37.7%,62.3%,0.0%,-24.5%,-22.1%,-2.4%,"381,184",89.1%,x
Florida,20,D+31,Alcee Hastings,D,"202,659",0,165,100.0%,0.0%,0.0%,100.0%,62.1%,N/A,"288,812",70.2%,x
Florida,21,D+9,Lois Frankel,D,0,0,0,100.0%,0.0%,0.0%,100.0%,19.5%,N/A,"351,663",0.0%,x
Florida,22,D+6,Ted Deutch,D,"184,634","113,049",0,62.0%,38.0%,0.0%,24.0%,15.7%,8.3%,"356,478",83.5%,x
Florida,23,D+11,Debbie Wasserman Schultz,D,"161,611","99,446","15,309",58.5%,36.0%,5.5%,22.5%,26.1%,-3.6%,"335,744",82.3%,x
Florida,24,D+34,Frederica Wilson,D,0,0,0,100.0%,0.0%,0.0%,100.0%,67.2%,N/A,"266,851",0.0%,x
Florida,25,R+4,Mario Diaz-Balart,R,"84,173","128,672",0,39.5%,60.5%,0.0%,-20.9%,-1.9%,-19.0%,"263,235",80.9%,x
Florida,26,D+6,Debbie Mucarsel-Powell,D,"119,797","115,678",0,50.9%,49.1%,0.0%,1.7%,16.3%,-14.6%,"289,209",81.4%,x
Florida,27,D+5,Donna Shalala,D,"130,743","115,588","6,255",51.8%,45.8%,2.5%,6.0%,19.7%,-13.7%,"299,037",84.5%,x
Georgia,1,R+9,Buddy Carter,R,"105,942","144,741",0,42.3%,57.7%,0.0%,-15.5%,-15.5%,0.0%,"269,568",93.0%,x
Georgia,2,D+6,Sanford Bishop,D,"136,699","92,472",0,59.6%,40.4%,0.0%,19.3%,11.7%,7.6%,"248,104",92.4%,x
Georgia,3,R+18,Drew Ferguson,R,"101,010","191,996",0,34.5%,65.5%,0.0%,-31.1%,-31.6%,0.5%,"311,864",94.0%,x
Georgia,4,D+24,Hank Johnson,D,"227,717","61,092",0,78.8%,21.2%,0.0%,57.7%,53.1%,4.6%,"298,663",96.7%,x
Georgia,5,D+34,John Lewis,D,"275,406",0,0,100.0%,0.0%,0.0%,100.0%,73.1%,N/A,"305,755",90.1%,x
Georgia,6,R+8,Lucy McBath,D,"160,139","156,875",18,50.5%,49.5%,0.0%,1.0%,-1.5%,2.5%,"331,262",95.7%,x
Georgia,7,R+9,Rob Woodall,R,"140,010","140,443",0,49.9%,50.1%,0.0%,-0.2%,-6.4%,6.2%,"294,972",95.1%,x
Georgia,8,R+15,Austin Scott,R,0,"198,152",564,0.0%,99.7%,0.3%,-99.7%,-28.9%,N/A,"265,514",74.8%,x
Georgia,9,R+31,Doug Collins,R,"57,912","224,661",5,20.5%,79.5%,0.0%,-59.0%,-58.5%,-0.5%,"297,215",95.1%,x
Georgia,10,R+15,Jody Hice,R,"112,339","190,396",0,37.1%,62.9%,0.0%,-25.8%,-25.5%,-0.3%,"315,073",96.1%,x
Georgia,11,R+17,Barry Loudermilk,R,"118,653","191,887",0,38.2%,61.8%,0.0%,-23.6%,-25.1%,1.5%,"329,312",94.3%,x
Georgia,12,R+9,Rick Allen,R,"101,503","148,986",3,40.5%,59.5%,0.0%,-19.0%,-16.2%,-2.8%,"267,675",93.6%,x
Georgia,13,D+20,David Scott,D,"223,157","69,760",93,76.2%,23.8%,0.0%,52.4%,44.5%,7.9%,"301,531",97.2%,x
Georgia,14,R+27,Tom Graves,R,"53,981","175,743",0,23.5%,76.5%,0.0%,-53.0%,-52.9%,-0.1%,"255,872",89.8%,x
Hawaii,1,D+17,Ed Case,D,"134,650","42,498","7,063",73.1%,23.1%,3.8%,50.0%,32.5%,17.5%,"209,300",88.0%,x
Hawaii,2,D+19,Tulsi Gabbard,D,"153,271","44,850",0,77.4%,22.6%,0.0%,54.7%,31.8%,22.9%,"219,637",90.2%,x
Idaho,1,R+21,Russ Fulcher,R,"96,922","197,719","20,428",30.8%,62.8%,6.5%,-32.0%,-38.3%,6.3%,"359,661",87.6%,x
Idaho,2,R+17,Mike Simpson,R,"110,381","170,274",0,39.3%,60.7%,0.0%,-21.3%,-24.7%,3.4%,"330,594",84.9%,x
Illinois,1,D+27,Bobby Rush,D,"189,560","50,960","17,365",73.5%,19.8%,6.7%,53.7%,53.2%,0.5%,"329,221",78.3%,x
Illinois,2,D+29,Robin Kelly,D,"190,684","44,567",0,81.1%,18.9%,0.0%,62.1%,58.6%,3.5%,"305,228",77.1%,x
Illinois,3,D+6,Dan Lipinski,D,"163,053","57,885","2,396",73.0%,25.9%,1.1%,47.1%,15.4%,31.7%,"286,582",77.9%,x
Illinois,4,D+33,Chuy Garcia,D,"143,895","22,294",0,86.6%,13.4%,0.0%,73.2%,68.3%,4.9%,"211,143",78.7%,x
Illinois,5,D+20,Mike Quigley,D,"213,992","65,134",5,76.7%,23.3%,0.0%,53.3%,46.0%,7.3%,"331,056",84.3%,x
Illinois,6,R+2,Sean Casten,D,"169,001","146,445",0,53.6%,46.4%,0.0%,7.2%,6.8%,0.4%,"355,920",88.6%,x
Illinois,7,D+38,Danny Davis,D,"215,746","30,497",0,87.6%,12.4%,0.0%,75.2%,77.3%,-2.1%,"313,933",78.4%,x
Illinois,8,D+8,Raja Krishnamoorthi,D,"130,054","67,073",0,66.0%,34.0%,0.0%,31.9%,21.6%,10.3%,"257,872",76.4%,x
Illinois,9,D+18,Jan Schakowsky,D,"213,368","76,983",0,73.5%,26.5%,0.0%,47.0%,44.5%,2.5%,"344,539",84.3%,x
Illinois,10,D+10,Brad Schneider,D,"156,540","82,124",0,65.6%,34.4%,0.0%,31.2%,28.9%,2.3%,"293,238",81.4%,x
Illinois,11,D+9,Bill Foster,D,"145,407","82,358",0,63.8%,36.2%,0.0%,27.7%,23.3%,4.4%,"282,906",80.5%,x
Illinois,12,R+5,Mike Bost,R,"118,724","134,884","7,935",45.4%,51.6%,3.0%,-6.2%,-14.8%,8.6%,"316,371",82.7%,x
