District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
CT-4,Connecticut,Jim Himes,41900,25200,37600,54400,83900,77800,"320,800",52.0,320800,CT,4,7,D,No,"168,726","106,921",4,61.2,38.8,59.6,36.6,Sparse suburban,D+7,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,28.0
CT-5,Connecticut,Jahana Hayes,36800,21500,38200,50000,77400,83200,"307,100",53.0,307100,CT,5,2,D,No,"151,225","119,426",13,55.9,44.1,49.9,45.8,Sparse suburban,D+2,78.3,5.8,12.5,2.3,0.1,1.0,36.3,40.0,68904,46.8
DE-AL,Delaware,Lisa Blunt Rochester,48600,32500,56300,63100,93100,95500,"389,100",51.0,389100,DE,AL,6,D,No,"227,353","125,384",0,64.5,35.5,53.4,41.9,Sparse suburban,D+6,70.5,20.6,5.1,2.2,0.3,1.3,31.0,33.8,61757,46.6
FL-1,Florida,Matt Gaetz,38200,27800,47400,49000,70300,65600,"298,300",50.0,298300,FL,1,-22,R,No,"106,199","216,189",0,32.9,67.1,28.2,67.5,Rural-suburban mix,R+22,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,53.8
FL-2,Florida,Neal Dunn,34400,29900,43500,48900,65700,64900,"287,400",51.0,287400,FL,2,-18,R,No,"96,233","199,335",0,32.6,67.4,30.6,66.2,Rural-suburban mix,R+18,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,60.5
FL-3,Florida,Ted Yoho,35000,31700,42300,45900,62600,62700,"280,300",50.0,280300,FL,3,-9,R,No,"129,880","176,616",0,42.4,57.6,40.2,56.2,Pure rural,R+9,73.5,15.0,7.2,2.5,0.3,1.5,25.9,26.5,45970,54.0
FL-4,Florida,John Rutherford,39700,25000,47000,53500,71600,66300,"303,100",50.0,303100,FL,4,-17,R,No,"123,351","248,420","9,478",32.4,65.2,34.1,62.1,Sparse suburban,R+17,80.2,8.8,6.0,3.2,0.2,1.6,39.2,39.8,68229,48.2
FL-5,Florida,Al Lawson,37500,35800,49100,50200,65100,60700,"298,500",49.0,298500,FL,5,12,D,No,"180,527","89,799",0,66.8,33.2,61.3,35.9,Sparse suburban,D+12,45.6,45.3,5.4,1.9,0.3,1.5,21.4,25.0,40932,34.1
FL-6,Florida,Michael Waltz,32100,20400,34700,44500,67800,73600,"273,000",53.0,273000,FL,6,-7,R,No,"145,758","187,891",0,43.7,56.3,39.9,56.9,Sparse suburban,R+7,79.2,9.3,9.0,1.3,0.3,0.9,23.9,24.9,46882,59.4
FL-7,Florida,Stephanie Murphy,39200,29900,50600,57100,72900,60500,"310,200",50.0,310200,FL,7,0,D,No,"183,113","134,285",0,57.7,42.3,51.4,44.1,Sparse suburban,EVEN,65.7,9.6,19.9,3.3,0.1,1.4,37.8,44.3,57146,36.5
FL-8,Florida,Bill Posey,32300,19100,34600,42300,71800,73500,"273,700",53.0,273700,FL,8,-11,R,No,"142,415","218,112",0,39.5,60.5,37.7,58.4,Sparse suburban,R+11,80.9,8.5,7.4,1.5,0.2,1.4,29.0,30.4,50752,56.2
FL-9,Florida,Darren Soto,43300,26300,48700,57200,68600,59400,"303,500",49.0,303500,FL,9,5,D,No,"172,172","124,565",0,58.0,42.0,54.8,41.9,Sparse suburban,D+5,51.4,11.3,33.2,2.6,0.2,1.2,24.6,28.8,49899,36.4
FL-10,Florida,Val Demings,41200,34100,57000,60200,70500,55600,"318,600",49.0,318600,FL,10,11,D,No,0,0,0,100.0,0.0,61.8,34.9,Sparse suburban,D+11,46.1,25.5,21.9,4.7,0.1,1.7,30.3,38.3,50151,28.2
FL-11,Florida,Dan Webster,29100,15400,29500,39700,59400,74100,"247,300",54.0,247300,FL,11,-15,R,No,"128,053","239,395",58,34.8,65.1,32.5,64.8,Rural-suburban mix,R+15,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,66.4
FL-12,Florida,Gus Bilirakis,33800,17900,36900,49400,70200,68900,"277,000",52.0,277000,FL,12,-8,R,No,"132,844","194,564","7,510",39.7,58.1,38.8,57.4,Sparse suburban,R+8,84.0,3.9,9.0,1.9,0.3,0.9,26.9,26.7,49774,61.5
FL-13,Florida,Charlie Crist,29200,19500,37700,45700,73100,75400,"280,500",54.0,280500,FL,13,2,D,No,"182,717","134,254",0,57.6,42.4,49.6,46.4,Dense suburban,D+2,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,55.5
FL-14,Florida,Kathy Castor,41400,26700,51100,58200,71200,60100,"308,800",50.0,308800,FL,14,7,D,No,0,0,0,100.0,0.0,57.2,39.0,Dense suburban,D+7,55.1,17.0,22.8,3.3,0.2,1.5,35.3,46.5,51410,29.4
FL-15,Florida,Ross Spano,40200,24000,45600,53600,67400,61800,"292,600",50.0,292600,FL,15,-6,R,No,"134,132","151,380",20,47.0,53.0,43.1,53.1,Sparse suburban,R+6,67.3,13.2,15.4,2.5,0.2,1.4,25.8,27.3,53784,48.8
FL-16,Florida,Vern Buchanan,33900,19400,36900,46200,66400,71500,"274,300",52.0,274300,FL,16,-7,R,No,"164,463","197,483",0,45.4,54.6,43.0,53.7,Sparse suburban,R+7,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,53.5
FL-17,Florida,Greg Steube,30500,17500,32200,40900,60400,71700,"253,100",53.0,253100,FL,17,-13,R,No,"117,194","193,326",0,37.7,62.3,35.0,62.2,Rural-suburban mix,R+13,82.4,6.8,8.8,1.1,0.2,0.8,21.3,23.2,45508,63.2
FL-18,Florida,Brian Mast,34500,19300,36500,46900,68100,67000,"272,400",52.0,272400,FL,18,-5,R,No,"156,454","185,905",0,45.7,54.3,44.1,53.3,Sparse suburban,R+5,76.8,10.7,10.0,1.6,0.2,0.8,30.5,33.6,54913,50.9
FL-19,Florida,Francis Rooney,33600,18500,36900,45600,64000,71600,"270,200",52.0,270200,FL,19,-13,R,No,"128,106","211,465",36,37.7,62.3,37.5,59.6,Sparse suburban,R+13,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,51.3
FL-20,Florida,Alcee Hastings,37200,21500,43800,54600,74000,63900,"294,900",51.0,294900,FL,20,31,D,No,"202,659",0,165,100.0,0.0,80.2,18.1,Urban-suburban mix,D+31,25.6,51.2,19.4,2.5,0.1,1.3,19.7,27.2,43677,18.5
FL-21,Florida,Lois Frankel,34700,19500,39400,49500,69100,63800,"276,000",52.0,276000,FL,21,9,D,No,0,0,0,100.0,0.0,58.6,39.1,Dense suburban,D+9,70.5,11.6,14.7,2.1,0.1,0.9,34.3,40.5,55864,41.8
FL-22,Florida,Ted Deutch,37700,22000,44800,55700,75000,63900,"299,200",51.0,299200,FL,22,6,D,No,"184,634","113,049",0,62.0,38.0,56.8,41.0,Dense suburban,D+6,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,38.9
FL-23,Florida,Debbie Wasserman Schultz,38300,22900,46300,57400,76200,63400,"304,400",51.0,304400,FL,23,11,D,No,"161,611","99,446","15,309",58.5,36.0,61.9,35.8,Urban-suburban mix,D+11,51.8,12.5,30.8,3.4,0.3,1.1,38.6,39.7,61513,31.1
FL-24,Florida,Frederica Wilson,37200,25700,48200,60200,75600,59500,"306,400",51.0,306400,FL,24,34,D,No,0,0,0,100.0,0.0,82.9,15.4,Urban-suburban mix,D+34,15.7,50.5,31.6,1.4,0.1,0.7,19.4,35.9,38441,9.9
FL-25,Florida,Mario Diaz-Balart,36600,23900,45000,56000,71500,60400,"293,400",51.0,293400,FL,25,-4,R,No,"84,173","128,672",0,39.5,60.5,47.9,49.7,Urban-suburban mix,R+4,26.5,3.9,68.0,1.0,0.2,0.3,22.7,33.9,46247,17.5
FL-26,Florida,Debbie Mucarsel-Powell,36000,25200,47700,59800,76000,62000,"306,600",51.0,306600,FL,26,6,D,Yes (to Democrats),"119,797","115,678",0,50.9,49.1,56.8,40.5,Urban-suburban mix,D+6,22.4,11.7,63.5,1.6,0.1,0.6,27.2,32.8,54453,15.0
FL-27,Florida,Donna Shalala,37100,26100,48500,60600,75500,58900,"306,700",51.0,306700,FL,27,5,D,Yes (to Democrats),"130,743","115,588","6,255",51.8,45.8,58.5,38.9,Urban-suburban mix,D+5,27.8,5.0,64.6,1.9,0.1,0.6,37.5,63.8,51958,9.9
GA-1,Georgia,Buddy Carter,40900,28600,49000,51100,63400,64600,"297,600",49.0,297600,GA,1,-9,R,No,"105,942","144,741",0,42.3,57.7,40.9,56.4,Rural-suburban mix,R+9,64.0,29.1,3.8,1.4,0.3,1.3,25.0,28.2,50931,45.9
GA-2,Georgia,Sanford Bishop,39300,27800,41500,47700,59500,62000,"277,800",49.0,277800,GA,2,6,D,No,"136,699","92,472",0,59.6,40.4,55.0,43.3,Rural-suburban mix,D+6,44.6,50.7,2.6,0.9,0.2,1.1,17.6,22.1,35617,34.7
GA-3,Georgia,Drew Ferguson,41200,26900,38500,56300,71000,65500,"299,400",50.0,299400,GA,3,-18,R,No,"101,010","191,996",0,34.5,65.5,32.8,64.3,Rural-suburban mix,R+18,70.8,23.3,3.3,1.2,0.2,1.2,26.5,28.3,56240,50.7
GA-4,Georgia,Hank Johnson,46100,25600,48000,59500,77300,73000,"329,400",50.0,329400,GA,4,24,D,No,"227,717","61,092",0,78.8,21.2,75.3,22.2,Sparse suburban,D+24,30.9,60.7,3.8,3.2,0.1,1.3,29.8,38.1,51686,19.0
GA-5,Georgia,John Lewis,34700,34300,66300,62900,62200,54600,"315,000",50.0,315000,GA,5,34,D,No,"275,406",0,0,100.0,0.0,85.0,11.9,Dense suburban,D+34,32.8,59.2,3.3,2.9,0.3,1.5,42.0,70.5,48269,9.7
GA-6,Georgia,Lucy McBath,45500,18500,44100,65500,82800,71600,"328,000",51.0,328000,GA,6,-8,D,Yes (to Democrats),"160,139","156,875",18,50.5,49.5,46.8,48.3,Dense suburban,R+8,72.4,14.3,4.9,6.8,0.3,1.4,60.6,66.7,87139,24.0
GA-7,Georgia,Rob Woodall,54100,25700,47400,73100,87500,67300,"355,000",49.0,355000,GA,7,-9,R,No,"140,010","140,443",0,49.9,50.1,44.8,51.1,Sparse suburban,R+9,58.5,20.4,9.1,10.4,0.2,1.4,39.6,44.9,72481,32.1
GA-8,Georgia,Austin Scott,40600,27200,40900,51200,64100,60600,"284,600",49.0,284600,GA,8,-15,R,No,0,"198,152",564,0.0,99.7,34.4,63.3,Pure rural,R+15,65.0,30.0,2.9,0.9,0.2,1.0,21.8,24.8,44360,48.7
GA-9,Georgia,Doug Collins,39500,23200,36700,52100,70400,70200,"292,100",51.0,292100,GA,9,-31,R,No,"57,912","224,661",5,20.5,79.5,19.3,77.8,Pure rural,R+31,86.8,7.0,4.2,1.0,0.2,0.8,21.6,24.0,50154,65.9
GA-10,Georgia,Jody Hice,40700,34600,38900,52000,71300,65100,"302,600",50.0,302600,GA,10,-15,R,No,"112,339","190,396",0,37.1,62.9,35.8,61.3,Pure rural,R+15,69.8,24.7,2.9,1.5,0.1,1.0,26.7,30.4,51532,48.5
GA-11,Georgia,Barry Loudermilk,42700,26700,47700,62100,79900,69100,"328,200",51.0,328200,GA,11,-17,R,No,"118,653","191,887",0,38.2,61.8,35.3,60.3,Sparse suburban,R+17,75.3,16.0,5.0,2.3,0.2,1.2,41.0,44.1,69610,42.0
GA-12,Georgia,Rick Allen,41300,30200,45700,52000,62500,61700,"293,200",49.0,293200,GA,12,-9,R,No,"101,503","148,986",3,40.5,59.5,40.7,56.9,Pure rural,R+9,59.8,34.3,3.3,1.2,0.2,1.0,20.9,23.6,43933,45.7
GA-13,Georgia,David Scott,48500,25000,45500,62700,79800,65800,"327,400",50.0,327400,GA,13,20,D,No,"223,157","69,760",93,76.2,23.8,71.0,26.6,Sparse suburban,D+20,33.4,58.1,4.8,2.2,0.1,1.4,29.6,26.0,57342,24.7
GA-14,Georgia,Tom Graves,41600,24400,39700,52600,69700,57700,"285,700",50.0,285700,GA,14,-27,R,No,"53,981","175,743",0,23.5,76.5,22.1,75.0,Rural-suburban mix,R+27,85.1,8.7,4.4,0.7,0.2,0.9,18.1,18.5,48691,69.3
HI-1,Hawaii,Ed Case,33500,24100,51200,53000,66600,66700,"295,200",51.0,295200,HI,1,17,D,No,"134,650","42,498","7,063",73.1,23.1,63.1,30.5,Urban-suburban mix,D+17,19.1,2.2,7.2,56.2,0.1,15.1,36.0,48.9,78180,9.8
HI-2,Hawaii,Tulsi Gabbard,41100,25400,47100,50200,60000,74300,"298,100",50.0,298100,HI,2,19,D,No,"153,271","44,850",0,77.4,22.6,61.4,29.6,Rural-suburban mix,D+19,33.7,1.6,9.2,35.9,0.2,19.5,27.8,42.6,70867,19.3
ID-1,Idaho,Russ Fulcher,51000,27500,46400,60300,76000,83200,"344,400",50.0,344400,ID,1,-21,R,No,"96,922","197,719","20,428",30.8,62.8,25.4,63.7,Rural-suburban mix,R+21,89.6,0.3,6.5,0.9,1.2,1.5,25.4,26.8,52199,65.5
ID-2,Idaho,Mike Simpson,52300,30200,52400,56900,65600,71400,"328,800",48.0,328800,ID,2,-17,R,No,"110,381","170,274",0,39.3,60.7,29.8,54.5,Rural-suburban mix,R+17,88.1,0.6,7.6,1.1,1.1,1.4,30.1,32.5,51294,59.4
IL-1,Illinois,Bobby Rush,40300,27100,40600,48700,67600,76400,"300,700",51.0,300700,IL,1,27,D,No,"189,560","50,960","17,365",73.5,19.8,75.4,21.4,Urban-suburban mix,D+27,38.0,53.0,6.4,1.3,0.2,1.1,28.9,35.9,50523,24.3
IL-2,Illinois,Robin Kelly,40000,25100,39600,49300,70400,69600,"294,100",51.0,294100,IL,2,29,D,No,"190,684","44,567",0,81.1,18.9,78.0,19.1,Dense suburban,D+29,33.0,56.6,8.8,0.6,0.1,1.0,23.3,25.0,48417,24.7
IL-3,Illinois,Dan Lipinski,43500,24700,42600,55500,73200,72200,"311,600",50.0,311600,IL,3,6,D,No,"163,053","57,885","2,396",73.0,25.9,55.2,39.9,Urban-suburban mix,D+6,68.2,5.4,22.3,3.3,0.0,0.7,26.9,32.1,66270,46.3
IL-4,Illinois,Chuy Garcia,43900,27100,58900,61900,62600,50500,"304,900",48.0,304900,IL,4,33,D,No,"143,895","22,294",0,86.6,13.4,82.1,13.2,Pure urban,D+33,33.2,5.4,56.2,3.9,0.2,1.1,24.5,52.8,51383,15.6
IL-5,Illinois,Mike Quigley,34000,22000,74700,65300,65200,60200,"321,400",51.0,321400,IL,5,20,D,No,"213,992","65,134",5,76.7,23.3,70.5,23.9,Pure urban,D+20,74.5,2.9,15.0,6.0,0.1,1.5,54.7,60.2,80269,29.6
IL-6,Illinois,Sean Casten,41100,22400,36900,52600,81900,87400,"322,200",52.0,322200,IL,6,-2,D,Yes (to Democrats),"169,001","146,445",0,53.6,46.4,50.2,43.2,Sparse suburban,R+2,84.1,2.4,6.0,6.7,0.0,0.8,52.2,53.4,97387,39.2
IL-7,Illinois,Danny Davis,34400,30200,64400,56500,61900,60500,"307,900",50.0,307900,IL,7,38,D,No,"215,746","30,497",0,87.6,12.4,87.4,9.2,Pure urban,D+38,32.5,51.5,9.5,5.2,0.1,1.2,40.7,73.7,54147,8.5
IL-8,Illinois,Raja Krishnamoorthi,39600,22400,47100,58300,75400,69900,"312,800",51.0,312800,IL,8,8,D,No,"130,054","67,073",0,66.0,34.0,58.1,36.4,Dense suburban,D+8,67.6,4.9,15.6,10.9,0.1,1.0,32.6,34.8,67745,43.9
IL-9,Illinois,Jan Schakowsky,34800,21000,49400,55000,73000,80700,"313,800",53.0,313800,IL,9,18,D,No,"213,368","76,983",0,73.5,26.5,70.1,24.9,Urban-suburban mix,D+18,72.1,8.6,7.4,10.3,0.1,1.5,53.2,58.2,67084,30.1
IL-10,Illinois,Brad Schneider,42900,25000,38900,53900,74900,72400,"308,200",51.0,308200,IL,10,10,D,No,"156,540","82,124",0,65.6,34.4,62.0,32.6,Sparse suburban,D+10,71.2,7.2,12.2,7.8,0.2,1.4,44.1,51.2,74971,34.7
IL-11,Illinois,Bill Foster,46500,25500,44700,61800,74300,61800,"314,600",49.0,314600,IL,11,9,D,No,"145,407","82,358",0,63.8,36.2,58.9,35.4,Dense suburban,D+9,64.4,11.9,16.1,6.0,0.1,1.5,36.0,42.5,72198,37.0
IL-12,Illinois,Mike Bost,37100,23300,41900,48900,69200,70700,"291,100",51.0,291100,IL,12,-5,R,No,"118,724","134,884","7,935",45.4,51.6,40.2,55.0,Rural-suburban mix,R+5,79.8,15.8,2.2,0.8,0.2,1.1,24.0,25.0,47430,59.8
IL-13,Illinois,Rodney Davis,33800,39800,39300,48000,60000,69800,"290,800",50.0,290800,IL,13,-3,R,No,"134,458","136,516",7,49.6,50.4,44.2,49.7,Rural-suburban mix,R+3,83.9,10.1,2.4,1.9,0.2,1.5,30.2,30.1,49758,58.6
IL-14,Illinois,Lauren Underwood,44500,23400,34600,59500,86700,75000,"323,600",51.0,323600,IL,14,-5,D,Yes (to Democrats),"156,035","141,164",0,52.5,47.5,44.8,48.7,Sparse suburban,R+5,85.4,3.1,7.1,3.4,0.1,0.8,42.1,43.1,90345,48.6
IL-15,Illinois,John Shimkus,37700,23600,39100,47600,64000,72400,"284,400",51.0,284400,IL,15,-21,R,No,"74,309","181,294",5,29.1,70.9,24.5,70.7,Pure rural,R+21,92.8,4.2,1.7,0.4,0.2,0.8,20.2,20.6,49927,73.6
IL-16,Illinois,Adam Kinzinger,38100,23900,36900,47900,71200,75200,"293,300",52.0,293300,IL,16,-8,R,No,"104,569","151,254",2,40.9,59.1,38.3,55.5,Rural-suburban mix,R+8,89.1,3.5,5.2,1.0,0.1,0.9,22.2,22.5,57182,69.0
IL-17,Illinois,Cheri Bustos,36400,24100,37400,47100,62600,72200,"279,800",51.0,279800,IL,17,3,D,No,"142,659","87,090",0,62.1,37.9,46.7,47.4,Rural-suburban mix,D+3,82.6,10.1,5.2,0.8,0.2,1.1,18.7,20.5,45360,65.6
IL-18,Illinois,Darin LaHood,38700,23400,39300,49800,69600,75800,"296,600",51.0,296600,IL,18,-15,R,No,"95,486","195,927",0,32.8,67.2,33.3,60.6,Rural-suburban mix,R+15,92.2,3.6,1.8,1.2,0.1,1.0,31.7,31.0,60857,63.6
IN-1,Indiana,Peter Visclosky,40500,24300,39800,52600,68600,73800,"299,700",51.0,299700,IN,1,8,D,No,"159,611","85,594",4,65.1,34.9,54.1,41.5,Sparse suburban,D+8,68.2,18.4,11.5,0.8,0.2,0.9,22.6,25.8,56370,50.5
IN-2,Indiana,Jackie Walorski,43100,25900,40000,50700,65400,71800,"296,800",50.0,296800,IN,2,-11,R,No,"103,363","125,499",27,45.2,54.8,36.1,59.3,Rural-suburban mix,R+11,87.3,6.2,4.2,0.8,0.3,1.1,20.8,22.1,51292,67.9
IN-3,Indiana,Jim Banks,45400,25100,41100,51500,67800,71600,"302,400",50.0,302400,IN,3,-18,R,No,"86,610","158,927",0,35.3,64.7,30.1,65.1,Rural-suburban mix,R+18,88.9,5.6,3.0,1.1,0.2,1.2,22.9,23.8,51453,67.7
IN-4,Indiana,Jim Baird,41200,35300,41300,51900,68000,72900,"310,500",50.0,310500,IN,4,-17,R,No,"87,824","156,539",0,35.9,64.1,30.2,64.3,Rural-suburban mix,R+17,91.6,3.4,2.8,1.2,0.2,0.8,26.0,26.6,53996,67.1
IN-5,Indiana,Susan Brooks,44400,22100,46300,58400,77900,77700,"326,800",51.0,326800,IN,5,-9,R,No,"137,142","180,035",0,43.2,56.8,41.3,53.1,Sparse suburban,R+9,86.4,8.1,2.3,2.0,0.1,1.1,45.0,45.9,67461,46.7
IN-6,Indiana,Greg Pence,38500,27900,35800,48700,73000,73400,"297,400",51.0,297400,IN,6,-18,R,No,"79,430","154,260","8,036",32.9,63.8,27.4,67.7,Pure rural,R+18,94.6,2.3,1.4,0.5,0.2,1.1,20.7,20.2,51033,75.4
IN-7,Indiana,Andre Carson,45900,28100,54200,55900,68100,59600,"311,900",49.0,311900,IN,7,11,D,No,"141,139","76,457",233,64.8,35.1,59.0,36.2,Dense suburban,D+11,63.7,29.4,3.8,1.2,0.3,1.7,23.5,29.4,41429,44.9
IN-8,Indiana,Larry Bucshon,38500,26500,39600,49600,67500,73000,"294,700",51.0,294700,IN,8,-15,R,No,"86,895","157,396",0,35.6,64.4,30.9,64.6,Rural-suburban mix,R+15,92.9,3.9,1.3,0.6,0.2,1.0,21.3,21.5,50261,72.9
IN-9,Indiana,Trey Hollingsworth,39400,32700,42600,51800,68900,70000,"305,400",50.0,305400,IN,9,-13,R,No,"118,090","153,271",0,43.5,56.5,34.2,61.1,Rural-suburban mix,R+13,93.4,2.6,1.7,1.0,0.2,1.1,26.3,26.3,55078,68.8
IA-1,Iowa,Abby Finkenauer,42500,28900,42300,51300,72100,81100,"318,300",51.0,318300,IA,1,1,D,Yes (to Democrats),"170,342","153,442","10,459",51.0,45.9,45.2,48.7,Rural-suburban mix,D+1,93.3,2.8,1.9,0.9,0.3,0.9,27.1,27.1,57402,68.0
IA-2,Iowa,Dave Loebsack,42200,30600,44800,52700,70400,78600,"319,300",50.0,319300,IA,2,1,D,No,"171,446","133,287","8,180",54.8,42.6,45.0,49.1,Rural-suburban mix,D+1,91.2,3.1,3.3,1.1,0.2,1.1,28.5,28.7,52150,65.0
IA-3,Iowa,Cindy Axne,48400,25700,51300,61300,78300,78000,"343,000",50.0,343000,IA,3,-1,D,Yes (to Democrats),"175,642","167,933","12,666",49.3,47.1,45.0,48.5,Sparse suburban,R+1,90.5,3.3,3.3,1.7,0.2,1.0,33.1,34.5,62323,59.3
IA-4,Iowa,Steve King,40900,32800,39300,46600,66800,81500,"307,900",51.0,307900,IA,4,-11,R,No,"147,246","157,676","8,329",47.0,50.3,33.5,60.9,Pure rural,R+11,93.7,1.2,3.0,0.9,0.4,0.8,24.7,24.8,53335,70.5
KS-1,Kansas,Roger Marshall,41100,32500,43400,44700,60000,68000,"289,700",49.0,289700,KS,1,-24,R,No,"71,558","153,082",0,31.9,68.1,24.3,69.3,Pure rural,R+24,86.0,3.0,8.1,1.0,0.5,1.4,23.9,26.1,48156,63.5
KS-2,Kansas,Steve Watkins,39600,31600,39500,45800,62900,69700,"289,000",50.0,289000,KS,2,-10,R,No,"123,859","126,098","14,731",46.8,47.6,37.4,55.8,Pure rural,R+10,86.9,4.4,4.2,0.8,1.2,2.5,29.2,30.2,51778,60.6
KS-3,Kansas,Sharice Davids,46800,23100,47400,59600,73500,73200,"323,500",50.0,323500,KS,3,-4,D,Yes (to Democrats),"170,518","139,762","8,021",53.6,43.9,47.2,46.0,Dense suburban,R+4,81.4,8.5,5.5,2.6,0.3,1.6,47.4,52.3,71562,38.8
KS-4,Kansas,Ron Estes,44900,24400,44300,49200,63400,71900,"298,100",49.0,298100,KS,4,-15,R,No,"98,445","144,248",0,40.6,59.4,33.0,60.2,Sparse suburban,R+15,81.5,6.5,6.8,2.4,0.9,1.9,29.5,32.0,52054,55.4
KY-1,Kentucky,James Comer,38600,25800,37800,47000,63500,67400,"280,100",50.0,280100,KY,1,-23,R,No,"78,849","172,167",0,31.4,68.6,23.9,72.4,Pure rural,R+23,90.1,6.9,1.5,0.4,0.2,0.9,15.7,16.1,40253,75.6
KY-2,Kentucky,Brett Guthrie,41600,27600,41100,54000,71600,68700,"304,500",50.0,304500,KY,2,-19,R,No,"79,964","171,700","5,681",31.1,66.7,27.6,67.5,Pure rural,R+19,90.8,5.4,1.6,0.8,0.2,1.2,20.9,21.1,49960,71.6
KY-3,Kentucky,John Yarmuth,39500,23900,49100,53500,70400,73300,"309,700",51.0,309700,KY,3,6,D,No,"173,002","101,930","3,788",62.1,36.6,54.9,39.9,Dense suburban,D+6,74.6,20.0,2.3,1.4,0.1,1.5,30.9,34.6,51070,48.8
KY-4,Kentucky,Thomas Massie,43200,22700,42700,57500,74900,72500,"313,400",51.0,313400,KY,4,-18,R,No,"90,536","162,946","8,330",34.6,62.2,29.3,65.2,Rural-suburban mix,R+18,93.4,3.3,1.5,0.6,0.1,1.0,28.3,28.3,60912,67.0
KY-5,Kentucky,Hal Rogers,37500,22400,36900,51400,62600,61700,"272,500",50.0,272500,KY,5,-31,R,No,"45,890","172,093",34,21.0,78.9,17.5,79.6,Pure rural,R+31,96.7,1.5,0.7,0.2,0.2,0.6,12.4,12.5,30585,84.6
KY-6,Kentucky,Andy Barr,40000,33000,45600,56600,71500,68600,"315,300",50.0,315300,KY,6,-9,R,No,"144,736","154,468","3,684",47.8,51.0,39.4,54.7,Rural-suburban mix,R+9,87.6,8.5,1.6,0.9,0.2,1.3,31.7,33.1,50659,58.6
