District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
LA-1,Louisiana,Steve Scalise,44200,25900,51700,55800,77800,82300,"337,800",51.0,337800,LA,1,-24,R,No,"71,521","192,555","5,249",26.6,71.5,26.7,68.7,Rural-suburban mix,R+24,78.1,12.6,5.4,1.6,1.1,1.2,30.3,33.4,56938,51.9
LA-2,Louisiana,Cedric Richmond,43400,28900,56700,57800,70300,73900,"331,000",50.0,331000,LA,2,25,D,No,"190,182",0,"45,800",80.6,0.0,74.6,22.2,Dense suburban,D+25,31.7,61.5,3.7,2.0,0.2,1.0,23.4,36.4,36798,20.1
LA-3,Louisiana,Clay Higgins,46700,27100,51600,54300,71300,70900,"321,900",49.0,321900,LA,3,-20,R,No,"74,713","168,263","2,967",30.4,68.4,29.2,67.3,Rural-suburban mix,R+20,72.1,23.6,2.0,0.9,0.4,1.1,21.0,24.0,44668,54.7
LA-4,Louisiana,Mike Johnson,44500,27000,47000,53500,63500,68300,"303,900",49.0,303900,LA,4,-13,R,No,"72,934","139,326","4,612",33.6,64.2,36.6,60.6,Pure rural,R+13,61.9,33.1,2.4,0.8,0.8,1.0,19.9,22.9,39748,47.7
LA-5,Louisiana,Ralph Abraham,42600,26000,44700,53600,65800,65700,"298,500",50.0,298500,LA,5,-15,R,No,"67,118","149,018","7,810",30.0,66.5,34.1,63.5,Pure rural,R+15,63.1,34.0,1.3,0.4,0.4,0.7,16.8,19.7,36718,50.7
LA-6,Louisiana,Garret Graves,45100,32700,50800,56400,71000,72000,"328,100",50.0,328100,LA,6,-19,R,No,"76,716","186,553","5,256",28.6,69.5,31.0,64.8,Rural-suburban mix,R+19,72.0,22.6,2.5,1.5,0.4,1.1,27.9,30.8,59270,49.8
ME-1,Maine,Chellie Pingree,30700,21200,34700,45400,71300,78500,"281,700",54.0,281700,ME,1,8,D,No,"201,195","111,188","29,670",58.8,32.5,54.1,39.3,Rural-suburban mix,D+8,95.4,0.9,1.2,1.0,0.3,1.2,36.9,37.3,61173,59.8
ME-2,Maine,Jared Golden,30500,20000,33700,41100,66200,75100,"266,500",53.0,266500,ME,2,-2,D,Yes (to Democrats),"142,440","138,931",0,50.6,49.4,41.1,51.4,Pure rural,R+2,96.0,0.4,1.0,0.4,0.8,1.4,23.0,23.1,46638,73.8
MD-1,Maryland,Andy Harris,37300,25200,36100,47600,79400,81000,"306,500",52.0,306500,MD,1,-14,R,No,"116,631","183,662","5,893",38.1,60.0,33.4,62.0,Rural-suburban mix,R+14,84.0,11.2,1.9,1.5,0.2,1.1,30.6,32.2,69254,56.9
MD-2,Maryland,Dutch Ruppersberger,42200,26600,52300,56600,76600,73300,"327,700",51.0,327700,MD,2,11,D,No,"167,201","77,782","8,319",66.0,30.7,60.1,35.7,Dense suburban,D+11,59.1,31.9,3.3,3.7,0.3,1.7,33.4,33.4,69128,39.3
MD-3,Maryland,John Sarbanes,38700,24900,58600,59400,67100,73100,"321,900",51.0,321900,MD,3,13,D,No,"202,407","82,774","7,699",69.1,28.3,62.8,32.3,Dense suburban,D+13,67.6,20.3,4.5,5.5,0.2,1.9,47.2,51.7,83620,32.6
MD-4,Maryland,Anthony Brown,41400,23400,51600,57700,80300,71300,"325,700",51.0,325700,MD,4,28,D,No,"209,642","53,327","5,614",78.1,19.9,77.2,19.7,Dense suburban,D+28,31.7,58.1,5.6,2.7,0.2,1.7,34.0,50.2,79350,15.8
MD-5,Maryland,Steny Hoyer,40700,30600,44000,56800,86500,81500,"340,100",52.0,340100,MD,5,16,D,No,"213,796","82,361","8,052",70.3,27.1,64.1,32.1,Sparse suburban,D+16,51.6,38.5,4.1,3.2,0.3,2.3,33.7,34.5,95442,33.7
MD-6,Maryland,David Trone,43300,24800,43600,58400,83600,75800,"329,600",51.0,329600,MD,6,6,D,No,"163,346","105,209","8,529",59.0,38.0,55.3,40.2,Sparse suburban,D+6,70.1,12.4,7.0,8.7,0.2,1.8,41.5,40.8,75774,41.4
MD-7,Maryland,Elijah Cummings,36300,25600,48200,49600,71000,71300,"302,100",51.0,302100,MD,7,26,D,No,"202,345","56,266","6,099",76.4,21.3,75.8,20.2,Urban-suburban mix,D+26,36.9,54.5,2.3,4.6,0.3,1.5,37.8,58.7,61392,15.2
MD-8,Maryland,Jamie Raskin,40700,23300,44600,60200,83100,80500,"332,400",52.0,332400,MD,8,14,D,No,"217,679","96,525","5,126",68.2,30.2,65.0,30.6,Dense suburban,D+14,70.9,11.0,8.0,8.2,0.2,1.8,55.6,61.6,98991,27.2
MA-1,Massachusetts,Richard Neal,36600,29000,39900,48700,73300,78600,"306,100",52.0,306100,MA,1,12,D,No,"211,790",0,"5,110",97.6,0.0,57.2,36.5,Sparse suburban,D+12,79.0,5.0,13.5,1.3,0.1,1.0,29.7,33.4,55716,52.5
MA-2,Massachusetts,Jim McGovern,35700,34000,42300,51900,78600,77200,"319,600",52.0,319600,MA,2,9,D,No,"191,332","93,391",170,67.2,32.8,56.2,36.8,Rural-suburban mix,D+9,85.2,3.3,7.0,3.3,0.2,1.1,38.4,39.4,64868,51.5
MA-3,Massachusetts,Lori Trahan,41500,25900,42400,55700,84000,78700,"328,000",52.0,328000,MA,3,9,D,No,"173,175","93,445","12,707",62.0,33.5,58.2,35.4,Sparse suburban,D+9,77.6,2.3,13.3,5.7,0.1,1.0,37.4,41.4,77995,45.3
MA-4,Massachusetts,Joe Kennedy,41000,25500,38000,54200,83400,79700,"321,900",52.0,321900,MA,4,9,D,No,"245,289",0,"5,727",97.7,0.0,59.2,35.0,Sparse suburban,D+9,89.2,2.5,3.3,3.9,0.0,1.1,51.0,50.3,98530,44.2
MA-5,Massachusetts,Katherine Clark,36500,25400,52300,61400,80500,77300,"333,400",52.0,333400,MA,5,18,D,No,"236,243","74,856",225,75.9,24.0,69.3,25.7,Urban-suburban mix,D+18,82.0,3.7,5.8,7.0,0.1,1.4,57.4,59.6,92268,33.0
MA-6,Massachusetts,Seth Moulton,38300,25400,40300,52900,82900,85100,"324,900",53.0,324900,MA,6,6,D,No,"217,703","104,798","11,474",65.2,31.4,56.1,38.2,Sparse suburban,D+6,89.0,2.3,5.0,2.8,0.1,0.9,44.0,46.2,84913,47.8
MA-7,Massachusetts,Ayanna Pressley,31300,46100,82300,57700,60600,57100,"335,000",49.0,335000,MA,7,34,D,No,"216,559",0,"3,852",98.3,0.0,84.1,11.9,Pure urban,D+34,53.1,23.0,14.0,7.7,0.2,2.0,42.9,64.5,60873,18.7
MA-8,Massachusetts,Stephen Lynch,36900,22700,57000,55800,80400,77000,"329,800",52.0,329800,MA,8,10,D,No,"259,159",0,"4,148",98.4,0.0,60.4,34.4,Dense suburban,D+10,81.4,7.6,4.2,5.5,0.1,1.2,46.8,50.3,82333,40.2
MA-9,Massachusetts,Bill Keating,33800,23600,32900,47100,79500,87300,"304,300",54.0,304300,MA,9,4,D,No,"192,347","131,463",118,59.4,40.6,52.5,41.8,Sparse suburban,D+4,91.9,2.3,3.3,1.0,0.2,1.3,35.9,37.5,68173,56.7
MI-1,Michigan,Jack Bergman,31500,22800,32600,41500,66300,84200,"278,900",53.0,278900,MI,1,-9,R,No,"145,246","187,251",0,43.7,56.3,36.6,57.9,Pure rural,R+9,92.9,1.8,1.2,0.4,2.1,1.6,24.6,25.2,46927,69.5
MI-2,Michigan,Bill Huizenga,42400,28800,42100,47900,68200,67700,"297,200",50.0,297200,MI,2,-9,R,No,"131,254","168,970","5,239",43.0,55.3,38.2,55.8,Rural-suburban mix,R+9,85.5,5.8,5.3,1.5,0.4,1.6,23.8,25.7,52919,63.4
MI-3,Michigan,Justin Amash,42500,24800,45200,51000,68800,72200,"304,600",50.0,304600,MI,3,-6,R,No,"134,185","169,107","7,448",43.2,54.4,42.2,51.6,Rural-suburban mix,R+6,85.5,7.9,3.7,1.0,0.4,1.5,31.4,33.6,57926,56.7
MI-4,Michigan,John Moolenaar,34800,29300,35400,42500,67500,74100,"283,700",51.0,283700,MI,4,-10,R,No,"106,540","178,510",0,37.4,62.6,34.7,59.5,Pure rural,R+10,93.5,1.9,2.3,0.5,0.6,1.2,21.9,21.7,48434,73.2
MI-5,Michigan,Daniel Kildee,36500,21800,36400,46100,64500,70400,"275,700",51.0,275700,MI,5,5,D,No,"164,502","99,265","12,646",59.5,35.9,49.7,45.5,Sparse suburban,D+5,77.4,16.3,3.8,0.6,0.3,1.6,19.0,20.4,42800,61.6
MI-6,Michigan,Fred Upton,39100,29100,38900,46700,66500,72300,"292,600",50.0,292600,MI,6,-4,R,No,"134,082","147,436","11,920",45.7,50.2,42.9,51.3,Rural-suburban mix,R+4,86.0,7.5,3.4,1.0,0.3,1.8,28.0,29.2,51477,60.8
MI-7,Michigan,Tim Walberg,36500,22500,35200,47600,71800,78300,"291,900",52.0,291900,MI,7,-7,R,No,"136,330","158,730",0,46.2,53.8,38.7,55.7,Pure rural,R+7,90.7,4.1,3.1,0.6,0.4,1.1,24.6,24.8,56427,68.1
MI-8,Michigan,Elissa Slotkin,37700,34300,37800,50000,76700,77000,"313,600",51.0,313600,MI,8,-4,D,Yes (to Democrats),"172,880","159,782","8,931",50.6,46.8,43.9,50.6,Sparse suburban,R+4,87.2,5.2,3.6,2.1,0.2,1.6,40.6,40.0,66495,52.3
MI-9,Michigan,Andy Levin,34500,21300,46600,50100,74500,75900,"302,900",52.0,302900,MI,9,4,D,No,"181,734","112,123","10,706",59.7,36.8,51.5,43.7,Dense suburban,D+4,82.1,11.5,1.8,2.8,0.3,1.5,30.3,30.4,56582,57.1
MI-10,Michigan,Paul Mitchell,38800,21100,34300,50800,77100,78400,"300,500",52.0,300500,MI,10,-13,R,No,"106,061","182,808","14,195",35.0,60.3,31.6,63.8,Rural-suburban mix,R+13,92.5,2.9,2.1,1.2,0.2,1.1,23.0,22.9,60934,71.3
MI-11,Michigan,Haley Stevens,38700,20400,39900,52700,86000,81000,"318,600",53.0,318600,MI,11,-4,D,Yes (to Democrats),"181,912","158,463","10,526",51.8,45.2,45.3,49.7,Sparse suburban,R+4,85.6,5.4,2.2,5.3,0.2,1.3,46.6,44.3,79805,47.6
MI-12,Michigan,Debbie Dingell,35900,35700,44200,49400,64500,66100,"295,700",50.0,295700,MI,12,14,D,No,"200,588","85,115","8,925",68.1,28.9,60.8,34.5,Dense suburban,D+14,80.0,10.3,4.3,3.1,0.3,2.1,34.0,34.0,55506,52.7
MI-13,Michigan,Rashida Tlaib,39600,25800,41600,45100,60200,60200,"272,400",49.0,272400,MI,13,32,D,No,"165,355",0,"30,944",84.2,0.0,78.8,18.1,Dense suburban,D+32,37.3,56.6,3.5,0.7,0.4,1.4,14.7,16.9,33995,30.8
MI-14,Michigan,Brenda Lawrence,39300,24500,41300,48700,62000,66200,"281,900",50.0,281900,MI,14,30,D,No,"214,334","45,899","4,761",80.9,17.3,79.2,18.3,Dense suburban,D+30,33.5,58.8,2.9,2.6,0.3,2.0,30.8,48.5,42695,17.2
MN-1,Minnesota,Jim Hagedorn,36600,26800,36500,43800,62000,70600,"276,300",51.0,276300,MN,1,-5,R,Yes (to Republicans),"144,885","146,200",576,49.7,50.1,38.4,53.3,Rural-suburban mix,R+5,92.8,1.9,2.7,1.6,0.2,0.8,28.0,29.0,60424,65.8
MN-2,Minnesota,Angie Craig,41800,22100,39500,54000,75100,71600,"304,100",51.0,304100,MN,2,-2,D,Yes (to Democrats),"177,958","159,344",666,52.7,47.1,45.3,46.5,Sparse suburban,R+2,88.7,3.3,2.8,3.5,0.4,1.3,38.5,40.0,80128,53.2
MN-3,Minnesota,Dean Phillips,39600,18500,41600,50600,76500,83400,"310,200",52.0,310200,MN,3,1,D,Yes (to Democrats),"202,404","160,839",706,55.6,44.2,50.8,41.4,Sparse suburban,D+1,86.8,4.9,1.9,4.8,0.2,1.3,49.0,51.1,84689,42.4
MN-4,Minnesota,Betty McCollum,40300,25000,49500,48800,66100,68800,"298,500",50.0,298500,MN,4,14,D,No,"216,865","97,747","14,003",66.0,29.7,61.5,30.6,Dense suburban,D+14,78.6,7.6,3.7,7.6,0.5,2.0,42.2,47.9,66175,40.9
MN-5,Minnesota,Ilhan Omar,35900,27700,65000,56700,61200,58700,"305,100",50.0,305100,MN,5,26,D,No,"267,703","74,440","1,215",78.0,21.7,73.7,18.5,Urban-suburban mix,D+26,75.5,13.3,3.3,4.1,1.0,2.7,44.5,53.1,59115,35.4
MN-6,Minnesota,Tom Emmer,42400,23100,38900,53600,75600,66800,"300,500",50.0,300500,MN,6,-12,R,No,"122,332","192,931",463,38.7,61.1,33.2,58.9,Rural-suburban mix,R+12,93.6,1.6,1.5,1.8,0.4,1.1,29.5,29.7,77049,65.8
MN-7,Minnesota,Collin Peterson,36900,22100,33600,40800,59600,72700,"265,600",51.0,265600,MN,7,-12,D,No,"146,672","134,668",169,52.1,47.8,31.0,61.8,Pure rural,R+12,93.4,0.6,2.2,0.5,2.3,1.0,21.8,22.5,52620,72.4
MN-8,Minnesota,Pete Stauber,33600,21100,33700,41600,64600,75900,"270,600",52.0,270600,MN,8,-4,R,Yes (to Republicans),"141,950","159,364","12,897",45.2,50.7,38.6,54.2,Pure rural,R+4,94.0,0.9,1.1,0.5,2.2,1.3,23.0,23.5,53676,71.9
MS-1,Mississippi,Trent Kelly,43600,29600,39400,55500,68400,62900,"299,400",49.0,299400,MS,1,-16,R,No,"76,601","158,245","1,675",32.4,66.9,32.4,65.4,Pure rural,R+16,70.9,26.5,1.5,0.5,0.1,0.5,20.7,22.7,43194,54.8
MS-2,Mississippi,Bennie Thompson,44500,27500,42800,52800,56200,63000,"286,800",48.0,286800,MS,2,14,D,No,"158,921",0,"62,458",71.8,0.0,63.6,35.1,Pure rural,D+14,34.2,63.5,1.2,0.4,0.3,0.4,19.3,25.0,34392,25.7
MS-3,Mississippi,Michael Guest,42000,28700,42900,55800,63900,69200,"302,300",50.0,302300,MS,3,-13,R,No,"94,461","160,284","2,526",36.7,62.3,36.8,61.3,Pure rural,R+13,63.0,34.0,1.1,0.6,0.8,0.5,25.9,31.5,45115,43.1
MS-4,Mississippi,St0 Palazzo,43700,28600,43700,55100,69200,67100,"307,400",50.0,307400,MS,4,-21,R,No,"68,787","152,633","2,312",30.7,68.2,28.2,69.4,Rural-suburban mix,R+21,73.0,22.3,2.3,1.1,0.3,1.0,21.1,23.5,45192,55.8
MO-1,Missouri,Lacy Clay,38900,28600,55600,53900,62800,67100,"306,800",50.0,306800,MO,1,29,D,No,"219,781","45,867","8,727",80.1,16.7,77.0,18.8,Dense suburban,D+29,46.8,47.8,1.8,1.7,0.2,1.8,31.8,43.4,45172,26.4
MO-2,Missouri,Ann Wagner,40100,20900,41600,52300,81900,91900,"328,700",53.0,328700,MO,2,-8,R,No,"177,611","192,477","5,978",47.2,51.2,42.3,52.6,Dense suburban,R+8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,49.0,79724,46.4
MO-3,Missouri,Blaine Luetkemeyer,43800,25800,42800,54200,77900,78800,"323,200",51.0,323200,MO,3,-18,R,No,"106,589","211,243","6,776",32.8,65.1,28.1,67.1,Rural-suburban mix,R+18,93.5,3.1,1.5,0.6,0.3,1.1,26.4,26.3,61929,68.9
MO-4,Missouri,Vicky Hartzler,40800,36200,44300,49600,66900,69800,"307,600",50.0,307600,MO,4,-17,R,No,"95,968","190,138","7,210",32.7,64.8,29.3,65.3,Pure rural,R+17,90.0,4.6,2.4,0.8,0.4,1.8,23.9,23.8,48065,68.5
MO-5,Missouri,Emanuel Cleaver,41200,25000,51700,53700,68200,73400,"313,200",50.0,313200,MO,5,7,D,No,"175,019","101,069","7,697",61.7,35.6,54.1,40.6,Dense suburban,D+7,70.7,21.0,4.9,1.4,0.4,1.6,28.2,32.5,48693,47.6
MO-6,Missouri,Sam Graves,43900,26700,42400,54300,75000,75100,"317,400",50.0,317400,MO,6,-16,R,No,"97,660","199,796","7,953",32.0,65.4,31.7,63.1,Rural-suburban mix,R+16,91.0,3.8,2.7,0.9,0.3,1.3,28.6,29.0,58532,64.5
MO-7,Missouri,Billy Long,42200,30800,44000,51600,66300,72000,"307,000",50.0,307000,MO,7,-23,R,No,"89,190","196,343","10,922",30.1,66.2,24.7,70.4,Rural-suburban mix,R+23,92.5,1.7,2.4,0.9,0.9,1.7,23.2,23.8,44619,70.5
MO-8,Missouri,Jason Smith,41300,24000,38400,47800,69200,71300,"291,900",50.0,291900,MO,8,-24,R,No,"66,151","194,042","4,206",25.0,73.4,21.0,75.4,Pure rural,R+24,92.6,4.3,1.2,0.2,0.5,1.2,15.0,15.3,40639,78.4
MT-AL,Montana,Greg Gianforte,54000,36700,58600,68300,92000,116400,"425,900",51.0,425900,MT,AL,-11,R,No,"233,284","256,661","14,476",46.2,50.9,35.9,56.5,Pure rural,R+11,89.5,0.4,2.6,0.6,5.4,1.7,31.0,31.9,50027,60.9
NE-1,Nebraska,Jeff Fortenberry,37100,28900,37800,42800,54800,61800,"263,200",49.0,263200,NE,1,-11,R,No,"93,069","141,712",0,39.6,60.4,36.2,57.5,Rural-suburban mix,R+11,89.7,2.5,4.2,1.5,0.9,1.2,32.5,33.9,58537,59.3
NE-2,Nebraska,Don Bacon,41200,21200,46200,52700,58300,58300,"277,900",49.0,277900,NE,2,-4,R,No,"121,770","126,715",0,49.0,51.0,46.0,48.2,Dense suburban,R+4,82.4,9.1,5.1,1.5,0.4,1.4,39.2,43.7,62621,46.4
NE-3,Nebraska,Adrian Smith,34100,21200,30500,39100,52300,65500,"242,700",51.0,242700,NE,3,-27,R,No,"49,654","163,650",0,23.3,76.7,20.0,74.9,Pure rural,R+27,91.2,0.8,6.0,0.5,0.6,0.9,22.2,23.9,50985,69.4
NV-1,Nevada,Dina Titus,38100,26300,46800,56100,71900,63300,"302,500",51.0,302500,NV,1,15,D,No,"100,707","46,978","4,516",66.2,30.9,61.6,32.6,Urban-suburban mix,D+15,48.0,12.5,27.3,9.1,0.5,2.5,15.2,19.6,38000,38.5
NV-2,Nevada,Mark Amodei,37000,22900,42100,48700,69200,74400,"294,300",52.0,294300,NV,2,-7,R,No,"120,102","167,435",0,41.8,58.2,39.7,52.0,Rural-suburban mix,R+7,77.3,1.9,13.0,3.8,2.1,1.9,25.5,28.9,58214,54.9
NV-3,Nevada,Susie Lee,39600,20700,52500,67400,73100,70200,"323,500",51.0,323500,NV,3,-2,D,No,"148,501","122,566","15,101",51.9,42.8,46.5,47.5,Urban-suburban mix,R+2,64.3,6.7,13.1,12.4,0.4,3.0,31.5,32.9,68396,43.1
NV-4,Nevada,Stu Horsford,44100,23100,46400,51800,67900,61600,"295,000",49.0,295000,NV,4,3,D,No,"121,962","102,748","10,158",51.9,43.7,49.5,44.6,Urban-suburban mix,D+3,56.9,15.3,18.1,5.9,0.9,2.9,20.4,24.6,55712,42.8
NH-1,New Hampshire,Chris Pappas,31500,25600,35200,44900,75500,76300,"288,900",53.0,288900,NH,1,-2,D,No,"155,891","131,015","4,160",53.6,45.0,46.6,48.2,Rural-suburban mix,R+2,94.4,0.9,2.2,1.3,0.1,1.1,37.2,37.4,71277,59.0
NH-2,New Hampshire,Annie Kuster,31100,22100,34800,44600,71500,79200,"283,300",53.0,283300,NH,2,2,D,No,"154,378","118,670","6,357",55.3,42.5,48.6,46.2,Pure rural,D+2,94.4,0.9,2.2,1.3,0.2,1.1,35.9,35.6,70524,60.7
NJ-1,New Jersey,Donald Norcross,40200,24200,45000,54400,75800,73200,"312,900",51.0,312900,NJ,1,13,D,No,"169,628","87,617","6,173",64.4,33.3,60.6,36.1,Dense suburban,D+13,69.6,16.3,9.1,3.8,0.1,1.2,30.4,33.4,68208,46.3
NJ-2,New Jersey,Jeff Van Drew,36500,22100,38900,49700,73300,78700,"299,200",52.0,299200,NJ,2,-1,D,Yes (to Democrats),"136,685","116,866","4,812",52.9,45.2,46.0,50.6,Rural-suburban mix,R+1,73.4,12.1,9.9,3.0,0.2,1.3,25.8,30.3,60756,51.1
NJ-3,New Jersey,Andy Kim,36000,22400,38200,49000,80400,81100,"307,100",53.0,307100,NJ,3,-2,D,Yes (to Democrats),"153,473","149,500","3,902",50.0,48.7,45.2,51.4,Sparse suburban,R+2,80.2,9.9,5.4,2.8,0.1,1.6,33.9,34.2,74537,52.7
NJ-4,New Jersey,Chris Smith,43100,21900,36000,48300,75200,79300,"303,900",51.0,303900,NJ,4,-8,R,No,"126,766","163,065","4,517",43.1,55.4,41.0,55.8,Sparse suburban,R+8,83.6,6.2,5.9,3.4,0.0,0.9,39.6,42.1,78511,48.4
NJ-5,New Jersey,Josh Gottheimer,39700,22800,34800,54600,87800,83500,"323,200",53.0,323200,NJ,5,-3,D,No,"169,546","128,255","4,022",56.2,42.5,47.7,48.8,Dense suburban,R+3,76.7,4.7,10.2,7.5,0.1,0.7,47.7,48.1,100219,39.7
NJ-6,New Jersey,Frank Pallone,39500,29900,49500,58000,81000,70100,"328,100",51.0,328100,NJ,6,9,D,No,"140,752","80,443",0,63.6,36.4,56.2,40.6,Dense suburban,D+9,60.1,10.4,14.4,14.0,0.1,0.9,38.9,37.3,79229,37.6
NJ-7,New Jersey,Tom Malinowski,40900,21400,33300,54100,95600,86500,"331,800",53.0,331800,NJ,7,-3,D,Yes (to Democrats),"166,985","150,785","4,972",51.7,46.7,48.6,47.5,Sparse suburban,R+3,79.2,4.7,8.1,7.2,0.0,0.8,51.3,53.1,106896,37.1
NJ-8,New Jersey,Albio Sires,40100,24600,70000,69900,74400,60600,"339,700",50.0,339700,NJ,8,27,D,No,"119,881","28,725","4,849",78.1,18.7,75.7,21.5,Pure urban,D+27,35.0,10.6,46.5,6.5,0.2,1.1,33.1,50.9,57391,16.9
NJ-9,New Jersey,Bill Pascrell,40400,26300,46900,61500,76500,75300,"327,000",51.0,327000,NJ,9,16,D,No,"140,832","57,854","1,730",70.3,28.9,64.3,33.1,Pure urban,D+16,48.2,11.0,29.3,10.4,0.2,1.0,33.6,41.0,64964,28.3
NJ-10,New Jersey,Donald Payne Jr.,41600,28800,53200,63200,75500,67100,"329,400",50.0,329400,NJ,10,36,D,No,"175,253","20,191","4,715",87.6,10.1,85.2,12.8,Pure urban,D+36,23.8,54.3,15.0,5.5,0.1,1.2,28.3,48.5,50100,12.1
NJ-11,New Jersey,Mikie Sherrill,38600,22000,35600,52900,87900,82600,"319,600",53.0,319600,NJ,11,-3,D,Yes (to Democrats),"183,684","136,322","3,568",56.8,42.1,47.9,48.8,Sparse suburban,R+3,80.1,3.6,7.8,7.5,0.1,0.9,54.4,55.0,108260,36.0
NJ-12,New Jersey,Bonnie Watson Coleman,40200,24700,41100,61600,80100,76400,"324,100",52.0,324100,NJ,12,16,D,No,"173,334","79,041",0,68.7,31.3,65.0,31.8,Dense suburban,D+16,58.3,18.4,10.3,11.9,0.1,1.0,45.5,49.1,85744,29.6
NM-1,New Mexico,Deb Haaland,35400,24800,45200,48600,63500,70500,"288,100",51.0,288100,NM,1,7,D,No,"147,336","90,507","11,319",59.1,36.3,51.6,35.1,Dense suburban,D+7,48.3,2.5,41.9,1.9,3.9,1.5,32.9,46.6,49570,25.6
NM-2,New Mexico,Xochitl Torres Small,43100,28500,38800,46500,55400,63000,"275,300",48.0,275300,NM,2,-6,D,Yes (to Democrats),"101,489","97,767",0,50.9,49.1,39.9,50.1,Rural-suburban mix,R+6,46.1,1.8,45.2,0.6,5.3,1.0,21.0,30.5,41797,31.9
NM-3,New Mexico,Ben R. Lujan,40400,23200,38800,46100,62200,69500,"280,100",50.0,280100,NM,3,8,D,No,"155,201","76,427","13,265",63.4,31.2,51.8,36.7,Pure rural,D+8,43.7,1.4,35.9,0.9,16.9,1.2,27.2,42.7,49210,24.9
NY-1,New York,Lee Zeldin,36700,25900,34200,52600,83600,77100,"310,000",53.0,310000,NY,1,-5,R,No,"127,991","139,027","2,988",47.4,51.5,42.2,54.5,Sparse suburban,R+5,82.9,4.5,8.8,2.8,0.2,0.8,34.1,36.2,90435,52.8
NY-2,New York,Peter King,36700,26300,43000,50100,84500,74100,"314,600",52.0,314600,NY,2,-3,R,No,"113,074","128,058",0,46.9,53.1,43.9,53.0,Dense suburban,R+3,72.5,9.2,14.6,2.6,0.1,1.0,31.2,35.4,93362,46.7
