District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
SC-4,South Carolina,William Timmons,39900,25000,42400,51300,69600,63400,"291,700",50.0,291700,SC,4,-15,R,No,"89,182","145,321","9,447",36.6,59.6,34.5,60.2,Sparse suburban,R+15,74.6,19.2,3.4,1.6,0.2,1.0,30.7,35.1,51718,48.4
SC-5,South Carolina,Ralph Norman,37800,23600,37200,49600,69200,66000,"283,500",51.0,283500,SC,5,-9,R,No,"103,129","141,757","3,693",41.5,57.0,38.8,57.3,Pure rural,R+9,68.8,26.7,2.3,0.8,0.4,1.1,23.0,27.3,48743,50.0
SC-6,South Carolina,Jim Clyburn,34000,32000,43600,41700,58000,61500,"270,900",50.0,270900,SC,6,19,D,No,"144,765","58,282","3,386",70.1,28.2,66.8,30.3,Pure rural,D+19,39.6,56.3,2.0,0.7,0.3,1.2,19.6,27.7,35296,28.6
SC-7,South Carolina,Tom Rice,34700,21200,37900,48400,63900,71800,"278,000",52.0,278000,SC,7,-9,R,No,"96,564","142,681",309,40.3,59.6,39.1,58.0,Rural-suburban mix,R+9,68.4,27.9,1.7,0.7,0.6,0.8,20.1,23.2,43146,52.5
SD-AL,South Dakota,Dusty Johnson,50000,31100,51000,57100,75900,87400,"352,500",50.0,352500,SD,AL,-14,R,No,"121,033","202,695","12,237",36.0,60.3,31.7,61.5,Pure rural,R+14,87.8,1.0,2.0,0.6,7.0,1.5,28.9,30.9,54467,60.6
TN-1,Tennessee,Phil Roe,34000,23100,35400,50500,69000,70000,"281,900",52.0,281900,TN,1,-28,R,No,"47,138","172,835","4,309",21.0,77.1,19.7,76.7,Rural-suburban mix,R+28,94.8,2.1,1.3,0.5,0.3,1.1,19.4,19.8,41006,76.0
TN-2,Tennessee,Tim Burchett,36600,28700,40800,51000,70300,71900,"299,300",51.0,299300,TN,2,-20,R,No,"86,668","172,856","2,609",33.1,65.9,29.7,65.1,Rural-suburban mix,R+20,90.3,5.8,1.6,1.0,0.2,1.1,31.0,30.9,50701,62.3
TN-3,Tennessee,Chuck Fleischmann,35500,23000,40300,50000,69000,71400,"289,300",52.0,289300,TN,3,-18,R,No,"84,731","156,512","4,522",34.5,63.7,30.2,65.4,Rural-suburban mix,R+18,85.7,10.4,1.6,0.9,0.3,1.1,22.7,23.5,43938,65.5
TN-4,Tennessee,Scott DesJarlais,42200,29300,42400,57600,72900,70300,"314,800",50.0,314800,TN,4,-20,R,No,"78,065","147,323","7,063",33.6,63.4,27.4,68.6,Rural-suburban mix,R+20,86.0,8.3,2.3,1.0,0.2,2.0,22.6,23.0,50598,66.1
TN-5,Tennessee,Jim Cooper,39000,28500,63800,61100,69200,68000,"329,500",50.0,329500,TN,5,7,D,No,"177,923","84,317",8,67.8,32.2,56.5,38.2,Sparse suburban,D+7,68.5,25.1,3.0,1.7,0.3,1.3,37.5,43.6,54470,38.6
TN-6,Tennessee,John Rose,40500,23700,38900,52300,74400,74200,"304,000",51.0,304000,TN,6,-24,R,No,"70,370","172,810","5,560",28.3,69.5,23.7,72.6,Pure rural,R+24,92.5,4.0,1.6,0.6,0.3,1.0,21.9,21.9,50731,72.2
TN-7,Tennessee,Mark Green,44800,24600,44000,57900,72800,68800,"312,900",50.0,312900,TN,7,-20,R,No,"81,661","170,071","2,652",32.1,66.9,28.2,67.5,Pure rural,R+20,84.2,9.9,3.2,1.2,0.3,1.2,28.1,28.8,53276,59.9
TN-8,Tennessee,David Kustoff,39800,23600,36100,49800,70100,70700,"290,000",51.0,290000,TN,8,-19,R,No,"74,755","168,030","5,560",30.1,67.7,30.7,66.3,Rural-suburban mix,R+19,76.8,19.3,1.7,1.2,0.2,0.8,27.6,28.9,54145,54.5
TN-9,Tennessee,Steve Cohen,42800,27100,49800,51800,61000,64700,"297,100",49.0,297100,TN,9,28,D,No,"145,139","34,901","1,436",80.0,19.2,77.5,19.8,Dense suburban,D+28,29.2,66.4,2.1,1.1,0.1,1.0,24.1,38.2,39761,18.0
TX-1,Texas,Louie Gohmert,42300,26800,40600,49100,61900,67100,"287,900",49.0,287900,TX,1,-25,R,No,"61,263","168,165","3,292",26.3,72.3,25.3,72.2,Pure rural,R+25,71.3,18.5,8.2,0.8,0.4,0.9,20.9,24.7,45313,53.7
TX-2,Texas,Dan Crenshaw,42500,26300,55000,64000,70500,78300,"336,600",51.0,336600,TX,2,-11,R,No,"119,992","139,188","4,212",45.6,52.8,43.1,52.4,Dense suburban,R+11,59.9,11.5,20.6,6.4,0.3,1.4,40.8,49.9,72711,29.9
TX-3,Texas,Van Taylor,52300,24800,47600,78500,94400,70900,"368,400",50.0,368400,TX,3,-13,R,No,"138,234","169,520","4,757",44.2,54.2,40.6,54.8,Dense suburban,R+13,69.2,9.1,9.7,10.0,0.3,1.6,53.5,55.0,88619,31.1
TX-4,Texas,John Ratcliffe,42500,23100,38800,52300,66500,68600,"291,800",50.0,291800,TX,4,-28,R,No,"57,400","188,667","3,178",23.0,75.7,21.8,75.4,Pure rural,R+28,79.6,10.7,6.9,0.7,0.6,1.5,22.1,24.3,52481,60.2
TX-5,Texas,Lance Gooden,45400,25700,45200,56800,70800,64300,"308,100",49.0,308100,TX,5,-16,R,No,"78,666","130,617",224,37.5,62.3,34.3,62.7,Rural-suburban mix,R+16,66.8,16.2,13.9,1.6,0.5,1.1,21.1,26.0,50536,49.4
TX-6,Texas,Ron Wright,46200,27100,48000,59300,76500,63500,"320,600",49.0,320600,TX,6,-9,R,No,"116,350","135,961","3,731",45.4,53.1,41.9,54.2,Dense suburban,R+9,60.1,19.4,14.5,4.2,0.4,1.4,28.7,32.2,65758,40.7
TX-7,Texas,Lizzie Fletcher,49100,21200,59500,69700,73800,66400,"339,600",49.0,339600,TX,7,-7,D,Yes (to Democrats),"127,959","115,642",0,52.5,47.5,48.5,47.1,Urban-suburban mix,R+7,56.8,14.1,19.0,8.7,0.2,1.3,50.7,61.5,71183,21.8
TX-8,Texas,Kevin Brady,48100,28000,46400,62400,82200,76900,"344,000",50.0,344000,TX,8,-28,R,No,"67,930","200,619","4,621",24.9,73.4,23.9,72.7,Rural-suburban mix,R+28,74.9,9.0,12.4,2.2,0.3,1.2,30.2,32.5,64861,50.5
TX-9,Texas,Al Green,49100,31200,61300,64800,66700,62000,"335,100",48.0,335100,TX,9,29,D,No,"136,256",0,"16,745",89.1,0.0,79.3,18.0,Urban-suburban mix,D+29,16.9,47.7,23.2,11.0,0.2,1.0,23.8,44.5,46048,9.4
TX-10,Texas,Michael McCaul,49100,22800,54600,67300,79700,72500,"346,000",50.0,346000,TX,10,-9,R,No,"144,034","157,166","6,627",46.8,51.1,43.2,52.3,Rural-suburban mix,R+9,65.6,11.2,17.7,4.0,0.2,1.3,38.7,45.5,73476,35.7
TX-11,Texas,Mike Conaway,45700,29100,49300,48200,66200,69400,"308,000",49.0,308000,TX,11,-32,R,No,"40,631","176,603","3,143",18.4,80.1,19.1,77.8,Rural-suburban mix,R+32,65.9,3.7,28.4,0.7,0.3,1.0,20.4,26.3,50602,48.5
TX-12,Texas,Kay Granger,47700,27000,51500,60700,77300,73000,"337,200",50.0,337200,TX,12,-18,R,No,"90,994","172,557","4,940",33.9,64.3,32.7,62.9,Sparse suburban,R+18,72.4,8.4,14.8,2.7,0.4,1.3,29.9,34.3,62214,47.5
TX-13,Texas,Mac Thornberry,42300,26800,42600,50500,63200,66100,"291,500",49.0,291500,TX,13,-33,R,No,"35,083","169,027","3,175",16.9,81.5,16.9,79.9,Rural-suburban mix,R+33,73.8,5.5,17.5,1.3,0.6,1.3,20.4,24.7,50150,55.6
TX-14,Texas,Randy Weber,43300,24900,44300,58300,72400,71600,"314,600",50.0,314600,TX,14,-12,R,No,"92,212","138,942","3,374",39.3,59.2,38.4,58.2,Sparse suburban,R+12,59.0,20.9,16.4,2.4,0.3,1.0,22.7,28.4,58103,42.2
TX-15,Texas,Vicente Gonzalez,57100,30600,48100,57800,60300,53000,"306,900",46.0,306900,TX,15,7,D,No,"98,333","63,862","2,607",59.7,38.8,56.7,40.0,Sparse suburban,D+7,23.1,2.4,72.8,1.2,0.2,0.4,19.8,31.1,41947,15.9
TX-16,Texas,Veronica Escobar,48500,30900,49900,53900,63200,55900,"302,200",48.0,302200,TX,16,17,D,No,"124,437","49,127","8,190",68.5,27.0,67.9,27.2,Dense suburban,D+17,19.0,4.3,74.4,1.2,0.3,0.8,23.9,37.0,44045,11.9
TX-17,Texas,Bill Flores,41500,43300,50500,52900,64600,61100,"313,900",48.0,313900,TX,17,-12,R,No,"98,070","134,841","4,440",41.3,56.8,38.8,56.3,Rural-suburban mix,R+12,65.6,13.3,16.6,2.9,0.2,1.4,29.4,36.3,50888,41.8
TX-18,Texas,Sheila Jackson Lee,47800,30500,58800,62400,69500,59200,"328,200",48.0,328200,TX,18,27,D,No,"138,704","38,368","7,260",75.2,20.8,76.5,20.0,Dense suburban,D+27,23.6,46.4,25.0,3.9,0.1,1.0,22.4,49.6,42662,11.8
TX-19,Texas,Jodey Arrington,43600,37700,45900,48000,57000,60000,"292,300",48.0,292300,TX,19,-27,R,No,"50,039","151,946",0,24.8,75.2,23.5,72.5,Rural-suburban mix,R+27,62.5,6.0,29.0,1.0,0.4,1.1,22.4,30.8,47875,43.2
TX-20,Texas,Joaquin Castro,49500,34200,56100,60800,64100,54500,"319,200",47.0,319200,TX,20,10,D,No,"139,038",0,"32,925",80.9,0.0,61.0,34.3,Dense suburban,D+10,26.7,5.6,64.3,2.2,0.2,1.0,24.7,42.7,49421,15.3
TX-21,Texas,Chip Roy,36500,29600,55500,57400,72000,77700,"328,700",51.0,328700,TX,21,-10,R,No,"168,421","177,654","7,542",47.6,50.2,42.5,52.5,Dense suburban,R+10,69.6,3.3,23.1,2.3,0.2,1.4,45.1,49.7,68987,35.0
TX-22,Texas,Pete Olson,57700,26500,51500,77700,87800,79200,"380,400",50.0,380400,TX,22,-10,R,No,"138,153","152,750","6,502",46.5,51.4,44.2,52.1,Sparse suburban,R+10,49.7,14.5,19.5,14.7,0.3,1.3,45.1,46.6,87901,26.5
TX-23,Texas,Will Hurd,50700,29100,46000,55900,62500,58300,"302,500",47.0,302500,TX,23,-1,R,No,"102,359","103,285","4,425",48.7,49.2,49.8,46.4,Rural-suburban mix,R+1,31.8,3.8,62.0,1.2,0.4,0.8,21.7,38.4,51293,19.6
TX-24,Texas,Kenny Marchant,45100,23800,59300,67900,82400,72100,"350,700",51.0,350700,TX,24,-9,R,No,"125,231","133,317","4,870",47.5,50.6,44.5,50.7,Dense suburban,R+9,63.3,11.6,14.5,8.4,0.3,1.8,44.7,50.9,70454,31.0
TX-25,Texas,Roger Williams,43500,28400,45300,63000,74100,71900,"326,100",50.0,326100,TX,25,-11,R,No,"136,385","163,023","5,145",44.8,53.5,40.2,55.1,Rural-suburban mix,R+11,74.9,7.1,13.5,2.3,0.3,1.8,37.2,41.4,69083,43.8
TX-26,Texas,Michael Burgess,53700,27800,53100,75100,85800,67000,"362,500",49.0,362500,TX,26,-18,R,No,"121,938","185,551","5,016",39.0,59.4,34.4,60.9,Sparse suburban,R+18,74.4,7.5,12.0,3.9,0.4,1.8,44.2,46.7,87272,39.6
TX-27,Texas,Michael Cloud,44400,27000,43900,52400,61300,68800,"297,900",49.0,297900,TX,27,-13,R,No,"75,929","125,118","6,374",36.6,60.3,36.5,60.1,Rural-suburban mix,R+13,47.3,5.4,45.2,1.1,0.2,0.8,20.3,29.3,53047,33.4
TX-28,Texas,Henry Cuellar,54000,29000,40000,56200,60000,51800,"291,000",46.0,291000,TX,28,9,D,No,"117,494",0,"21,732",84.4,0.0,58.3,38.5,Sparse suburban,D+9,24.5,5.3,68.3,0.8,0.2,0.9,17.7,28.3,44021,17.5
TX-29,Texas,Sylvia Garcia,57100,30600,55200,58700,65200,53000,"319,800",46.0,319800,TX,29,19,D,No,"88,188","28,098","1,208",75.1,23.9,71.1,25.4,Dense suburban,D+19,18.7,16.1,62.3,2.1,0.3,0.5,10.4,21.1,41737,14.7
TX-30,Texas,Eddie Bernice Johnson,48900,27800,52600,59500,70100,59000,"318,000",48.0,318000,TX,30,29,D,No,"166,784",0,"16,390",91.1,0.0,79.1,18.3,Dense suburban,D+29,22.6,52.8,21.4,1.9,0.2,1.1,20.5,40.8,44689,13.3
TX-31,Texas,John Carter,51800,27800,54300,69600,74000,62900,"340,300",49.0,340300,TX,31,-10,R,No,"136,362","144,680","4,965",47.7,50.6,40.8,53.5,Sparse suburban,R+10,64.8,11.2,18.3,3.4,0.3,2.0,34.3,38.3,69228,40.0
TX-32,Texas,Colin Allred,42800,26000,55500,58700,71400,69800,"324,300",50.0,324300,TX,32,-5,D,Yes (to Democrats),"144,067","126,101","5,452",52.3,45.8,48.5,46.6,Dense suburban,R+5,63.8,13.0,14.2,6.7,0.2,2.0,43.4,55.7,70119,28.2
TX-33,Texas,Marc Veasey,55900,28700,51800,59500,62800,50800,"309,600",46.0,309600,TX,33,23,D,No,"90,805","26,120","2,299",76.2,21.9,72.9,23.7,Dense suburban,D+23,27.0,24.4,44.9,2.5,0.3,0.9,9.3,24.3,38445,20.4
TX-34,Texas,Filemon Vela,52200,29600,41500,50000,59700,52900,"285,900",46.0,285900,TX,34,10,D,No,"85,825","57,243",0,60.0,40.0,59.2,37.7,Rural-suburban mix,D+10,20.4,1.7,77.1,0.5,0.1,0.2,15.1,26.1,37989,15.0
TX-35,Texas,Lloyd Doggett,50800,34900,69400,63900,67400,54400,"340,700",47.0,340700,TX,35,15,D,No,"138,278","50,553","5,236",71.3,26.0,64.1,30.5,Dense suburban,D+15,34.2,10.6,52.4,1.3,0.2,1.2,20.4,34.3,48490,22.4
TX-36,Texas,Brian Babin,43000,26200,42400,54400,69400,73000,"308,300",50.0,308300,TX,36,-26,R,No,"60,908","161,048",0,27.4,72.6,25.2,72.0,Rural-suburban mix,R+26,71.6,9.5,15.6,1.7,0.4,1.2,19.4,21.7,58984,56.0
UT-1,Utah,Rob Bishop,55300,30600,48900,57600,54600,56000,"302,900",46.0,302900,UT,1,-26,R,No,"63,308","156,692","34,333",24.9,61.6,22.4,49.7,Sparse suburban,R+26,87.3,0.9,7.9,1.6,0.9,1.3,28.9,31.3,65896,59.9
UT-2,Utah,Chris Stewart,50000,29200,51500,55700,55800,60300,"302,400",47.0,302400,UT,2,-16,R,No,"105,051","151,489","13,504",38.9,56.1,32.0,46.0,Rural-suburban mix,R+16,85.7,0.9,8.4,2.7,0.9,1.3,32.5,35.3,60700,55.4
UT-3,Utah,John Curtis,56000,40600,45100,52600,53900,49800,"298,000",45.0,298000,UT,3,-25,R,No,"70,686","174,856","13,316",27.3,67.5,23.3,47.2,Sparse suburban,R+25,88.8,0.5,5.9,1.9,1.4,1.6,41.6,44.0,70763,49.7
UT-4,Utah,Ben McAdams,57000,25500,54900,66900,58300,55000,"317,700",47.0,317700,UT,4,-13,D,Yes (to Democrats),"134,964","134,270",37,50.1,49.9,32.4,39.1,Dense suburban,R+13,84.4,1.2,9.2,3.3,0.7,1.2,28.2,31.2,68711,58.0
VT-AL,Vermont,Peter Welch,28800,24700,31700,39900,64100,74000,"263,200",53.0,263200,VT,AL,15,D,No,"188,547","70,705","13,199",69.2,26.0,56.7,30.3,Pure rural,D+15,95.4,0.8,1.4,0.9,0.3,1.3,36.4,36.5,57677,60.5
VA-1,Virginia,Rob Wittman,44400,25400,42200,57700,80000,69200,"318,900",50.0,318900,VA,1,-8,R,No,"148,464","183,250",387,44.7,55.2,41.2,53.6,Rural-suburban mix,R+8,73.3,16.7,5.3,2.4,0.4,1.9,37.5,41.2,81338,43.0
VA-2,Virginia,Elaine Luria,39200,37400,52300,51100,68200,62400,"310,700",49.0,310700,VA,2,-3,D,Yes (to Democrats),"139,571","133,458",371,51.1,48.8,45.4,48.8,Dense suburban,R+3,68.0,19.3,5.5,4.4,0.3,2.4,34.4,38.5,66953,41.8
VA-3,Virginia,Bobby Scott,40300,38300,52500,49200,67300,62000,"309,500",49.0,309500,VA,3,16,D,No,"198,615",0,"19,107",91.2,0.0,63.6,31.9,Dense suburban,D+16,46.3,45.1,4.0,2.2,0.3,2.1,26.2,32.3,51794,31.3
VA-4,Virginia,Don McEachin,38500,30000,51500,53300,72000,67800,"313,100",50.0,313100,VA,4,10,D,No,"187,642","107,706","4,506",62.6,35.9,58.7,37.1,Rural-suburban mix,D+10,52.1,41.5,2.8,1.6,0.3,1.8,30.1,37.8,54607,32.4
VA-5,Virginia,Denver Riggleman,35500,23900,38200,48300,70300,74900,"291,100",52.0,291100,VA,5,-6,R,No,"145,040","165,339",547,46.6,53.2,42.3,53.4,Pure rural,R+6,75.9,20.1,1.6,1.0,0.2,1.2,27.9,31.5,52237,52.0
VA-6,Virginia,Ben Cline,36200,28500,39700,48300,68700,70400,"291,700",51.0,291700,VA,6,-13,R,No,"113,133","167,957",287,40.2,59.7,34.9,59.7,Rural-suburban mix,R+13,84.9,10.2,2.4,1.1,0.2,1.2,26.6,28.7,50061,60.5
VA-7,Virginia,Abigail Spanberger,43000,20700,43000,57400,77800,71200,"313,100",51.0,313100,VA,7,-6,D,Yes (to Democrats),"176,079","169,295","4,429",50.3,48.4,44.0,50.5,Rural-suburban mix,R+6,73.2,18.4,3.5,3.0,0.2,1.6,39.0,43.1,73580,41.6
VA-8,Virginia,Don Beyer,37800,26300,70200,68700,73300,63100,"339,400",51.0,339400,VA,8,21,D,No,"247,137","76,899",712,76.1,23.7,73.5,20.9,Urban-suburban mix,D+21,64.1,13.6,10.0,9.8,0.2,2.4,61.8,77.1,100719,14.6
VA-9,Virginia,Morgan Griffith,32900,30200,37200,49500,67900,73300,"291,100",52.0,291100,VA,9,-19,R,No,"85,833","160,933",214,34.8,65.2,27.3,68.8,Pure rural,R+19,91.8,5.4,1.1,0.8,0.1,0.8,20.4,20.0,41698,73.4
VA-10,Virginia,Jennifer Wexton,50300,19900,48400,70500,81900,60300,"331,300",50.0,331300,VA,10,1,D,Yes (to Democrats),"206,356","160,841",598,56.1,43.7,52.2,42.2,Sparse suburban,D+1,72.5,7.2,7.1,10.9,0.3,2.1,54.3,56.7,120384,31.3
VA-11,Virginia,Gerry Connolly,46100,23000,51000,65400,79600,66300,"331,400",50.0,331400,VA,11,15,D,No,"219,191","83,023","6,051",71.1,26.9,66.9,27.5,Dense suburban,D+15,58.2,13.5,10.8,14.7,0.1,2.8,55.5,66.5,106554,19.4
WA-1,Washington,Suzan DelBene,39800,18700,42100,59100,78700,77900,"316,300",52.0,316300,WA,1,6,D,No,"197,209","135,534",0,59.3,40.7,54.1,37.8,Sparse suburban,D+6,83.8,1.1,4.8,6.7,1.0,2.5,43.4,41.5,91018,48.9
WA-2,Washington,Rick Larsen,37200,27900,49000,51400,66600,73000,"305,100",51.0,305100,WA,2,10,D,No,"210,187",0,"84,646",71.3,0.0,56.9,34.8,Dense suburban,D+10,80.4,2.4,5.8,7.0,1.2,3.3,30.3,31.4,65187,55.1
WA-3,Washington,Jaime Herrera Beutler,40700,20800,39400,52300,67400,72100,"292,600",51.0,292600,WA,3,-4,R,No,"145,407","161,819",0,47.3,52.7,42.5,49.9,Rural-suburban mix,R+4,87.6,1.4,4.5,3.0,0.8,2.8,25.4,25.8,61304,65.0
WA-4,Washington,Dan Newhouse,49500,24200,42700,49500,59200,59900,"285,000",48.0,285000,WA,4,-13,R,No,"83,785","141,551",0,37.2,62.8,35.1,57.9,Rural-suburban mix,R+13,72.6,1.1,20.4,1.3,2.6,2.0,20.1,26.4,52484,53.4
WA-5,Washington,Cathy McMorris Rodgers,35800,29900,43200,43600,61200,69900,"283,500",50.0,283500,WA,5,-8,R,No,"144,925","175,422",0,45.2,54.8,39.1,52.2,Rural-suburban mix,R+8,88.5,1.4,4.1,1.9,1.4,2.6,30.4,30.9,51697,61.1
WA-6,Washington,Derek Kilmer,31000,23400,39400,42200,62500,77000,"275,400",53.0,275400,WA,6,6,D,No,"206,409","116,677",0,63.9,36.1,51.8,39.5,Rural-suburban mix,D+6,82.5,3.5,4.6,3.8,1.7,3.9,29.7,31.6,60616,56.4
WA-7,Washington,Pramila Jayapal,27900,28400,69200,66400,69800,71700,"333,300",53.0,333300,WA,7,33,D,No,"329,800","64,881",0,83.6,16.4,82.1,12.2,Urban-suburban mix,D+33,78.1,3.5,5.0,8.8,0.6,4.1,61.0,64.5,84579,27.7
WA-8,Washington,Kim Schrier,42500,23400,43800,58600,77100,74300,"319,700",51.0,319700,WA,8,0,D,Yes (to Democrats),"164,089","148,968",0,52.4,47.6,47.7,44.7,Sparse suburban,EVEN,81.3,2.7,6.1,6.4,0.9,2.8,34.5,35.1,79516,52.7
WA-9,Washington,Adam Smith,38400,22800,57100,58800,75600,66100,"318,800",51.0,318800,WA,9,21,D,No,"240,567",0,0,100.0,0.0,70.5,23.3,Dense suburban,D+21,58.5,10.5,6.0,19.8,0.7,4.6,41.8,48.1,75407,30.3
WA-10,Washington,Denny Heck,42400,25600,49400,53400,65800,68100,"304,800",50.0,304800,WA,10,5,D,No,"166,215","103,860",0,61.5,38.5,51.3,39.9,Dense suburban,D+5,74.6,6.1,6.9,6.8,1.3,4.3,28.7,30.9,62206,51.4
WV-1,West Virginia,David McKinley,28000,24400,34200,43000,56200,62500,"248,300",52.0,248300,WV,1,-19,R,No,"70,217","127,997",0,35.4,64.6,26.4,68.0,Pure rural,R+19,95.0,2.4,0.9,0.6,0.2,0.9,23.5,23.1,45611,73.0
WV-2,West Virginia,Alex Mooney,32600,17500,34200,45100,60300,68300,"257,900",52.0,257900,WV,2,-17,R,No,"88,011","110,504","6,277",43.0,54.0,29.4,65.8,Pure rural,R+17,92.5,3.8,1.3,0.6,0.2,1.6,21.5,21.1,48358,72.9
WV-3,West Virginia,Carol Miller,30100,18100,30400,42200,53300,57700,"231,800",51.0,231800,WV,3,-23,R,No,"76,340","98,645",0,43.6,56.4,23.3,72.5,Pure rural,R+23,94.0,3.8,0.8,0.4,0.2,0.9,17.4,17.2,37728,77.8
WI-1,Wisconsin,Bryan Steil,38600,21500,38100,50200,77800,80200,"306,400",52.0,306400,WI,1,-5,R,No,"137,508","177,492","10,013",42.3,54.6,42.3,52.6,Sparse suburban,R+5,86.8,5.0,5.6,1.3,0.3,1.0,28.2,29.7,61589,61.0
WI-2,Wisconsin,Mark Pocan,38800,33900,48000,55400,69000,76300,"321,500",51.0,321500,WI,2,18,D,No,"309,116",0,38,100.0,0.0,65.8,29.0,Rural-suburban mix,D+18,89.4,3.6,2.9,2.4,0.3,1.3,42.6,43.3,65589,50.7
WI-3,Wisconsin,Ron Kind,36300,34400,38400,45200,66500,74400,"295,200",51.0,295200,WI,3,0,D,No,"187,888","126,980",0,59.7,40.3,44.8,49.3,Pure rural,EVEN,94.8,1.0,1.3,1.5,0.5,0.8,25.4,25.8,52154,70.3
WI-4,Wisconsin,Gwen Moore,43500,29500,53700,51600,62400,59000,"299,600",48.0,299600,WI,4,25,D,No,"206,487","59,091","7,170",75.7,21.7,74.0,21.8,Urban-suburban mix,D+25,52.6,32.8,9.7,2.6,0.5,1.8,27.4,39.9,41816,31.6
WI-5,Wisconsin,Jim Sensenbrenner,38500,22500,39900,51600,76700,81600,"310,700",52.0,310700,WI,5,-13,R,No,"138,385","225,619",1,38.0,62.0,37.3,57.4,Sparse suburban,R+13,92.4,1.8,3.3,1.4,0.2,0.8,36.9,36.9,68162,58.3
WI-6,Wisconsin,Glenn Grothman,36300,23800,37200,48700,73600,80300,"299,900",52.0,299900,WI,6,-8,R,No,"144,536","180,311",0,44.5,55.5,38.8,55.7,Rural-suburban mix,R+8,93.6,1.5,2.3,1.4,0.5,0.7,26.4,26.8,57129,68.5
WI-7,Wisconsin,Sean Duffy,36700,18100,33800,46900,73200,86600,"295,400",53.0,295400,WI,7,-8,R,No,"124,307","194,061","4,419",38.5,60.1,37.3,57.7,Pure rural,R+8,94.6,0.5,1.2,1.0,1.8,0.9,23.1,23.4,51738,72.5
WI-8,Wisconsin,Mike Gallagher,39700,22300,40100,51200,75300,78600,"307,000",52.0,307000,WI,8,-7,R,No,"119,265","209,410",0,36.3,63.7,38.6,56.2,Rural-suburban mix,R+7,92.3,1.0,2.2,1.4,2.1,1.0,25.4,26.0,57888,68.3
WY-AL,Wyoming,Liz Cheney,33100,21000,37600,42100,50900,63600,"248,300",51.0,248300,WY,AL,-25,R,No,"59,903","127,963","13,379",29.8,63.6,22.5,70.1,Pure rural,R+25,88.4,0.9,6.9,0.6,1.8,1.5,27.1,28.5,59882,63.1
